[2026-06-29T18:29:53.762Z] 再開: 既存 877社
[2026-06-29T18:29:53.764Z] PR TIMES リリースURL収集（目標 1400社）…
[2026-06-29T18:29:58.617Z]   keyword「新卒採用」まで 累計リリースURL 213
[2026-06-29T18:30:03.266Z]   keyword「採用」まで 累計リリースURL 220
[2026-06-29T18:30:07.984Z]   keyword「中途採用」まで 累計リリースURL 226
[2026-06-29T18:30:12.635Z]   keyword「人事」まで 累計リリースURL 233
[2026-06-29T18:30:17.351Z]   keyword「採用強化」まで 累計リリースURL 242
[2026-06-29T18:30:22.004Z]   keyword「採用活動」まで 累計リリースURL 252
[2026-06-29T18:30:26.694Z]   keyword「キャリア採用」まで 累計リリースURL 262
[2026-06-29T18:30:31.365Z]   keyword「新入社員」まで 累計リリースURL 272
[2026-06-29T18:30:36.019Z]   keyword「内定式」まで 累計リリースURL 282
[2026-06-29T18:30:40.653Z]   keyword「入社式」まで 累計リリースURL 292
[2026-06-29T18:30:45.324Z]   keyword「採用イベント」まで 累計リリースURL 302
[2026-06-29T18:30:49.962Z]   keyword「インターンシップ」まで 累計リリースURL 312
[2026-06-29T18:30:54.607Z]   keyword「採用サイト」まで 累計リリースURL 319
[2026-06-29T18:30:59.341Z]   keyword「人材採用」まで 累計リリースURL 329
[2026-06-29T18:31:04.173Z]   keyword「採用ブランディング」まで 累計リリースURL 335
[2026-06-29T18:31:08.806Z]   keyword「採用開始」まで 累計リリースURL 336
[2026-06-29T18:31:13.460Z]   keyword「求人」まで 累計リリースURL 346
[2026-06-29T18:31:18.066Z]   keyword「採用DX」まで 累計リリースURL 354
[2026-06-29T18:31:22.739Z]   keyword「採用広報」まで 累計リリースURL 359
[2026-06-29T18:31:27.425Z]   keyword「組織開発」まで 累計リリースURL 368
[2026-06-29T18:31:32.075Z]   keyword「資金調達」まで 累計リリースURL 375
[2026-06-29T18:31:36.762Z]   keyword「業務提携」まで 累計リリースURL 384
[2026-06-29T18:31:41.915Z]   keyword「新サービス」まで 累計リリースURL 393
[2026-06-29T18:31:46.571Z]   keyword「新商品」まで 累計リリースURL 403
[2026-06-29T18:31:51.190Z]   keyword「オフィス移転」まで 累計リリースURL 412
[2026-06-29T18:31:55.844Z]   keyword「事業拡大」まで 累計リリースURL 421
[2026-06-29T18:32:00.515Z]   keyword「IPO」まで 累計リリースURL 430
[2026-06-29T18:32:05.313Z]   keyword「新規事業」まで 累計リリースURL 438
[2026-06-29T18:32:09.968Z]   keyword「キャンペーン」まで 累計リリースURL 447
[2026-06-29T18:32:14.607Z]   keyword「導入事例」まで 累計リリースURL 456
[2026-06-29T18:32:19.255Z]   keyword「SaaS」まで 累計リリースURL 464
[2026-06-29T18:32:23.942Z]   keyword「DX」まで 累計リリースURL 472
[2026-06-29T18:32:28.615Z]   keyword「AI」まで 累計リリースURL 478
[2026-06-29T18:32:33.316Z]   keyword「スタートアップ」まで 累計リリースURL 483
[2026-06-29T18:32:37.956Z]   keyword「働き方改革」まで 累計リリースURL 493
[2026-06-29T18:32:42.589Z]   keyword「EC」まで 累計リリースURL 501
[2026-06-29T18:32:47.273Z]   keyword「福利厚生」まで 累計リリースURL 509
[2026-06-29T18:32:51.931Z]   keyword「表彰」まで 累計リリースURL 519
[2026-06-29T18:32:56.583Z]   keyword「受賞」まで 累計リリースURL 527
[2026-06-29T18:33:01.385Z]   keyword「周年」まで 累計リリースURL 536
[2026-06-29T18:33:06.054Z]   keyword「社名変更」まで 累計リリースURL 545
[2026-06-29T18:33:10.688Z]   keyword「新会社」まで 累計リリースURL 555
[2026-06-29T18:33:15.359Z]   keyword「拠点開設」まで 累計リリースURL 565
[2026-06-29T18:33:19.981Z]   keyword「パートナー」まで 累計リリースURL 575
[2026-06-29T18:33:24.604Z]   keyword「アプリ」まで 累計リリースURL 583
[2026-06-29T18:33:29.305Z]   keyword「リニューアル」まで 累計リリースURL 593
[2026-06-29T18:33:33.861Z]   keyword「コラボ」まで 累計リリースURL 602
[2026-06-29T18:33:38.419Z]   keyword「販売開始」まで 累計リリースURL 612
[2026-06-29T18:33:42.972Z]   keyword「予約開始」まで 累計リリースURL 622
[2026-06-29T18:33:47.532Z]   keyword「クラウドファンディング」まで 累計リリースURL 630
[2026-06-29T18:33:52.087Z]   keyword「展示会」まで 累計リリースURL 637
[2026-06-29T18:33:56.627Z]   keyword「セミナー」まで 累計リリースURL 642
[2026-06-29T18:34:01.169Z]   keyword「ウェビナー」まで 累計リリースURL 648
[2026-06-29T18:34:05.787Z]   keyword「調査」まで 累計リリースURL 656
[2026-06-29T18:34:10.363Z]   keyword「ランキング」まで 累計リリースURL 660
[2026-06-29T18:34:14.969Z]   keyword「キャッシュレス」まで 累計リリースURL 669
[2026-06-29T18:34:19.556Z]   keyword「サブスク」まで 累計リリースURL 679
[2026-06-29T18:34:24.130Z]   keyword「D2C」まで 累計リリースURL 689
[2026-06-29T18:34:28.688Z]   keyword「フィンテック」まで 累計リリースURL 697
[2026-06-29T18:34:33.368Z]   keyword「ヘルスケア」まで 累計リリースURL 704
[2026-06-29T18:34:38.009Z]   keyword「介護」まで 累計リリースURL 714
[2026-06-29T18:34:42.567Z]   keyword「保育」まで 累計リリースURL 723
[2026-06-29T18:34:47.151Z]   keyword「教育」まで 累計リリースURL 730
[2026-06-29T18:34:51.729Z]   keyword「EdTech」まで 累計リリースURL 740
[2026-06-29T18:34:56.286Z]   keyword「不動産」まで 累計リリースURL 746
[2026-06-29T18:35:00.857Z]   keyword「建設」まで 累計リリースURL 756
[2026-06-29T18:35:05.445Z]   keyword「物流」まで 累計リリースURL 763
[2026-06-29T18:35:10.021Z]   keyword「製造業」まで 累計リリースURL 768
[2026-06-29T18:35:14.603Z]   keyword「飲食」まで 累計リリースURL 777
[2026-06-29T18:35:19.149Z]   keyword「小売」まで 累計リリースURL 786
[2026-06-29T18:35:23.702Z]   keyword「アパレル」まで 累計リリースURL 796
[2026-06-29T18:35:28.245Z]   keyword「美容」まで 累計リリースURL 802
[2026-06-29T18:35:32.816Z]   keyword「旅行」まで 累計リリースURL 811
[2026-06-29T18:35:37.390Z]   keyword「観光」まで 累計リリースURL 819
[2026-06-29T18:35:41.964Z]   keyword「ペット」まで 累計リリースURL 826
[2026-06-29T18:35:46.537Z]   keyword「食品」まで 累計リリースURL 835
[2026-06-29T18:35:51.077Z]   keyword「農業」まで 累計リリースURL 844
[2026-06-29T18:35:55.635Z]   keyword「エネルギー」まで 累計リリースURL 854
[2026-06-29T18:36:00.253Z]   keyword「環境」まで 累計リリースURL 862
[2026-06-29T18:36:04.827Z]   keyword「IoT」まで 累計リリースURL 872
[2026-06-29T18:36:09.386Z]   keyword「ロボット」まで 累計リリースURL 879
[2026-06-29T18:36:13.890Z]   keyword「ドローン」まで 累計リリースURL 887
[2026-06-29T18:36:18.450Z]   keyword「メタバース」まで 累計リリースURL 896
[2026-06-29T18:36:22.988Z]   keyword「NFT」まで 累計リリースURL 905
[2026-06-29T18:36:27.562Z]   keyword「Web3」まで 累計リリースURL 913
[2026-06-29T18:36:32.103Z]   keyword「ゲーム」まで 累計リリースURL 922
[2026-06-29T18:36:36.659Z]   keyword「動画」まで 累計リリースURL 931
[2026-06-29T18:36:41.314Z]   keyword「EC支援」まで 累計リリースURL 941
[2026-06-29T18:36:45.884Z]   keyword「広告」まで 累計リリースURL 949
[2026-06-29T18:36:50.491Z]   keyword「マーケティング」まで 累計リリースURL 956
[2026-06-29T18:36:55.065Z]   keyword「コンサルティング」まで 累計リリースURL 964
[2026-06-29T18:36:59.617Z]   keyword「BPO」まで 累計リリースURL 972
[2026-06-29T18:37:04.179Z]   keyword「アウトソーシング」まで 累計リリースURL 978
[2026-06-29T18:37:08.736Z]   keyword「人材」まで 累計リリースURL 984
[2026-06-29T18:37:13.321Z]   keyword「HRtech」まで 累計リリースURL 991
[2026-06-29T18:37:17.895Z]   keyword「営業支援」まで 累計リリースURL 1001
[2026-06-29T18:37:22.454Z]   keyword「地方創生」まで 累計リリースURL 1008
[2026-06-29T18:37:26.994Z]   keyword「中小企業」まで 累計リリースURL 1011
[2026-06-29T18:37:31.567Z]   keyword「ものづくり」まで 累計リリースURL 1015
[2026-06-29T18:37:36.106Z]   keyword「サステナビリティ」まで 累計リリースURL 1021
[2026-06-29T18:37:40.680Z]   keyword「SDGs」まで 累計リリースURL 1028
[2026-06-29T18:37:45.237Z]   keyword「健康経営」まで 累計リリースURL 1032
[2026-06-29T18:37:49.825Z]   keyword「ダイバーシティ」まで 累計リリースURL 1038
[2026-06-29T18:37:55.512Z]   keyword「新店舗」まで 累計リリースURL 1046
[2026-06-29T18:38:01.233Z]   keyword「オープン」まで 累計リリースURL 1051
[2026-06-29T18:38:06.936Z]   keyword「開業」まで 累計リリースURL 1061
[2026-06-29T18:38:12.639Z]   keyword「出店」まで 累計リリースURL 1068
[2026-06-29T18:38:18.372Z]   keyword「生産性」まで 累計リリースURL 1078
[2026-06-29T18:38:24.017Z]   keyword「業績」まで 累計リリースURL 1088
[2026-06-29T18:38:29.704Z]   keyword「増収」まで 累計リリースURL 1098
[2026-06-29T18:38:35.391Z]   keyword「黒字」まで 累計リリースURL 1108
[2026-06-29T18:38:41.079Z]   keyword「M&A」まで 累計リリースURL 1114
[2026-06-29T18:38:46.766Z]   keyword「子会社」まで 累計リリースURL 1122
[2026-06-29T18:38:52.437Z]   keyword「ブランド」まで 累計リリースURL 1129
[2026-06-29T18:38:58.286Z]   keyword「コンテンツ」まで 累計リリースURL 1136
[2026-06-29T18:39:03.943Z]   keyword「ライブ」まで 累計リリースURL 1145
[2026-06-29T18:39:09.680Z]   keyword「イベント開催」まで 累計リリースURL 1154
[2026-06-29T18:39:15.348Z]   keyword「コンテスト」まで 累計リリースURL 1164
[2026-06-29T18:39:21.035Z]   keyword「モニター」まで 累計リリースURL 1174
[2026-06-29T18:39:26.678Z]   keyword「無料」まで 累計リリースURL 1180
[2026-06-29T18:39:32.332Z]   keyword「値下げ」まで 累計リリースURL 1190
[2026-06-29T18:39:38.232Z]   keyword「機能追加」まで 累計リリースURL 1200
[2026-06-29T18:39:43.948Z]   keyword「アップデート」まで 累計リリースURL 1210
[2026-06-29T18:39:49.654Z]   keyword「ベータ版」まで 累計リリースURL 1220
[2026-06-29T18:39:55.342Z]   keyword「正式版」まで 累計リリースURL 1230
[2026-06-29T18:40:01.014Z]   keyword「API」まで 累計リリースURL 1237
[2026-06-29T18:40:06.651Z]   keyword「プラットフォーム」まで 累計リリースURL 1246
[2026-06-29T18:40:12.354Z]   keyword「マッチング」まで 累計リリースURL 1253
[2026-06-29T18:40:18.061Z]   keyword「シェアリング」まで 累計リリースURL 1263
[2026-06-29T18:40:23.732Z]   keyword「サブスクリプション」まで 累計リリースURL 1272
[2026-06-29T18:40:29.420Z]   keyword「定期便」まで 累計リリースURL 1282
[2026-06-29T18:40:35.364Z]   keyword「オンライン」まで 累計リリースURL 1285
[2026-06-29T18:40:41.299Z]   keyword「リモート」まで 累計リリースURL 1295
[2026-06-29T18:40:46.981Z]   keyword「ハイブリッド」まで 累計リリースURL 1303
[2026-06-29T18:40:52.687Z]   keyword「キャリア」まで 累計リリースURL 1308
[2026-06-29T18:40:58.360Z]   keyword「研修」まで 累計リリースURL 1312
[2026-06-29T18:41:04.065Z]   keyword「eラーニング」まで 累計リリースURL 1319
[2026-06-29T18:41:09.733Z]   keyword「リスキリング」まで 累計リリースURL 1326
[2026-06-29T18:41:15.406Z]   keyword「資格」まで 累計リリースURL 1332
[2026-06-29T18:41:21.077Z]   keyword「検定」まで 累計リリースURL 1341
[2026-06-29T18:41:26.797Z]   keyword「認定」まで 累計リリースURL 1351
[2026-06-29T18:41:32.499Z]   keyword「導入」まで 累計リリースURL 1361
[2026-06-29T18:41:38.173Z]   keyword「提携」まで 累計リリースURL 1368
[2026-06-29T18:41:43.830Z]   keyword「共同開発」まで 累計リリースURL 1378
[2026-06-29T18:41:49.545Z]   keyword「実証実験」まで 累計リリースURL 1387
[2026-06-29T18:41:55.204Z]   keyword「特許」まで 累計リリースURL 1395
[2026-06-29T18:42:00.844Z]   keyword「受注」まで 累計リリースURL 1405
[2026-06-29T18:42:06.661Z]   keyword「納入」まで 累計リリースURL 1415
[2026-06-29T18:42:12.330Z]   keyword「採択」まで 累計リリースURL 1423
[2026-06-29T18:42:18.017Z]   keyword「補助金」まで 累計リリースURL 1431
[2026-06-29T18:42:23.708Z]   keyword「助成金」まで 累計リリースURL 1439
[2026-06-29T18:42:29.394Z]   keyword「グッドデザイン」まで 累計リリースURL 1449
[2026-06-29T18:42:29.395Z] リリースURL 1449件 → 会社概要をパース
[2026-06-29T18:42:43.549Z]   880/1400社（代表者名つき）
[2026-06-29T18:43:04.357Z]   900/1400社（代表者名つき）
[2026-06-29T18:43:35.678Z]   920/1400社（代表者名つき）
[2026-06-29T18:44:00.897Z]   940/1400社（代表者名つき）
[2026-06-29T18:44:30.021Z]   960/1400社（代表者名つき）
[2026-06-29T18:44:55.724Z]   980/1400社（代表者名つき）
[2026-06-29T18:45:22.079Z]   1000/1400社（代表者名つき）
[2026-06-29T18:46:02.585Z]   1020/1400社（代表者名つき）
[2026-06-29T18:46:32.181Z]   1040/1400社（代表者名つき）
[2026-06-29T18:47:00.102Z]   1060/1400社（代表者名つき）
[2026-06-29T18:47:38.600Z]   1080/1400社（代表者名つき）
[2026-06-29T18:48:10.258Z]   1100/1400社（代表者名つき）
[2026-06-29T18:48:36.865Z]   1120/1400社（代表者名つき）
[2026-06-29T18:49:02.674Z]   1140/1400社（代表者名つき）
[2026-06-29T18:49:39.410Z]   1160/1400社（代表者名つき）
[2026-06-29T18:49:59.787Z] 収集完了: 1170社 ｜ 代表者名 950 ｜ 公式URL 858
[2026-06-29T18:49:59.787Z] 出力: C:\Users\shofu\Desktop\saiyo_tantousha_poc\poc\sources\prtimes-companies.csv
