ログインID,アカウント,アカウント納品,アカウント納品日,会社ID,法人名,LINEアカウント登録企業名,基本年間プラン,現在利用プラン,更新前プラン,アップグレードプラン①,アップグレード①開始月,アップグレードプラン②,アップグレード②開始月,Email,LINE@ID,無料開始月,有料開始月,有料終了月,利用期間,作成日,備考欄
0,有効,未納,,0,削除,削除,スタンダード,スタンダード,,,,,,tanaka+0000@n2i.jp,,,,,0,2018/10/15,-
1,有効,未納,2020/08/19,833,株式会社ネオキャリア,株式会社MOCHICAJP,スタンダード,スタンダード,,,,,,wada+production@n2i.jp,@dmg0654v,,,,0,2018/04/09,-
44,有効,済み,2020/02/03,1623,株式会社三峰,株式会社三峰,ミニマムプラン,ミニマムプラン,ライト,,,,,haruka.takaki@mitsumine.co.jp,@bzp0437x,,2026/02,2027/01,0,2018/07/04,20251027MO017
64,有効,済み,2019/12/02,64,株式会社トレーダー,株式会社トレーダー,スタンダード,スタンダード,スタンダード,,,,,saiyou@otakara.co.jp,@ibf8829v,,2025/12,2026/11,0,2018/10/01,20250905MO003
85,有効,済み,2019/12/02,85,株式会社デイリーはやしや,株式会社デイリーはやしや,スタンダード,スタンダード,スタンダード,,,,,jinji@d-hayashiya.co.jp,@lhn3092q,,2025/12,2026/11,0,2018/11/06,20250828MO021
96,有効,済み,2021/01/29,1578,株式会社プレミアアシスト,株式会社プレミアアシスト,ミニマムプラン,ミニマムプラン,ライト,,,,,pahd_saiyo@prestigein.com,@yla6796i,,2026/01,2026/12,0,2018/11/27,20251023MO012
101,有効,済み,2020/07/01,1400,株式会社ライブズ,株式会社ライブズ,ミドルプラン,ミドルプラン,ミドルプラン,,,,,saiyou@lives-group.com,@atf2061c,,2026/07,2027/06,1,2018/12/05,20260325MO002
115,有効,済み,2021/01/29,115,株式会社コモディイイダ,株式会社コモディイイダ,スタンダード,スタンダード,スタンダード,,,,,como-somu3916@comodi-iida.co.jp,@cjw5205q,,2026/01,2026/12,0,2019/01/07,20251009MO002
132,有効,済み,2019/02/04,1669,アイエスジー株式会社,アイエスジー株式会社人事課新卒採用チーム,ミドルプラン,ミドルプラン,スタンダード,,,,,saiyou@isg.inc,@fvr5109g,,2026/03,2027/02,0,2019/02/04,20251127MO002
146,有効,済み,2019/02/25,1682,兼松コミュニケーションズ株式会社,兼松コミュニケーションズ 株式会社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,jinji@kcs.ne.jp,@sjt8632g,,2026/03,2027/02,0,2019/02/25,20251121MO003
