企業名,採用担当者名,代表者名,架電宛名,役職,公式URL,業種,都道府県,電話番号,上場,設立,取得元,根拠URL
株式会社CHOOSE,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000007.000157806.html
株式会社マイトラシス,,改野,改野 様,,https://www.maitrasys.tech/,情報通信,東京都,,未上場,2026,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000186046.html
一般社団法人社会基盤情報流通推進協議会,,関本義秀,関本義秀 様,,https://aigid.jp/,財団法人・社団法人・宗教法人,東京都,03-6455-1845,未上場,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000000033.000069280.html
バンドー化学株式会社,,植野富夫,植野富夫 様,,,製造業,：兵庫県,078-304-2935,東証プライム資本,1906,PR TIMES,https://prtimes.jp/main/html/rd/p/000000186.000079403.html
Hyundai Mobility Japan 株式会社,,七五三木敏幸,七五三木敏幸 様,,https://www.hyundai.com/jp/,製造業,神奈川県,,未上場,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000000325.000095868.html
株式会社イーカムグループ,,名迎祐次,名迎祐次 様,,http://ecome.co.jp/,商業（卸売業、小売業）,地福岡県,092-477-2885,未上場,2007,PR TIMES,https://prtimes.jp/main/html/rd/p/000000363.000085881.html
株式会社 東急パワーサプライ,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000135.000020242.html
株式会社KMS,,梶原,梶原 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000050.000136795.html
Surfshark B.V.,,,,,https://surfshark.com/ja,サービス業,,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000016.000176142.html
株式会社ジェイック,,竹長,竹長 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000422.000060461.html
深圳市道格创想电子商务有限公司,,張玲麗,張玲麗 様,,,製造業,,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000307.000127114.html
プロトスター株式会社,,前川英麿,前川英麿 様,,http://www.theprotostar.co/,サービス業,東京都,,未上場,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000184.000023145.html
ヤンマーホールディングス株式会社,,山岡健人,山岡健人 様,,,水産・農林業,大阪府,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000385.000034384.html
株式会社　東京創元社,,渋谷健太郎,渋谷健太郎 様,,http://www.tsogen.co.jp/,情報通信,北海道,03-3268-8201,未上場,1954,PR TIMES,https://prtimes.jp/main/html/rd/p/000000260.000009527.html
Direava株式会社,,竹内優志,竹内優志 様,,https://direava.com,製造業,東京都,03-6256-8331,,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000161347.html
株式会社愛しとーと,,岩本初恵,岩本初恵 様,,https://aishitoto.co.jp/,商業（卸売業、小売業）,：福岡県,092-954-0668,未上場,1998,PR TIMES,https://prtimes.jp/main/html/rd/p/000000213.000054826.html
株式会社ヘンリー,,逆瀬川光人,逆瀬川光人 様,,https://henry.jp/,医療・福祉,大阪府,03-6773-5778,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000023.000102549.html
株式会社Linksenpai,,吉田志織,吉田志織 様,,https://linksenpai.com/,教育・学習支援業,東京都,,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000029.000154962.html
株式会社ミショナ,,鈴木隆宏,鈴木隆宏 様,,http://missiona.co/,情報通信,：福岡県,050-3746-2996,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000424.000059114.html
メディアリンク株式会社,,松本,松本 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000215.000072025.html
株式会社丸善ジュンク堂書店,,西川仁,西川仁 様,,https://www.maruzenjunkudo.co.jp/,商業（卸売業、小売業）,東京都,,未上場,2010,PR TIMES,https://prtimes.jp/main/html/rd/p/000000119.000027516.html
AI Lab 株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000002.000181105.html
RISE KANSAI,,山本博士,山本博士 様,,https://www.risekansai.com/,サービス業,大阪府,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000010.000165475.html
株式会社扶桑社,,秋尾弘史,秋尾弘史 様,,http://www.fusosha.co.jp/,商業（卸売業、小売業）,東京都,,未上場,1984,PR TIMES,https://prtimes.jp/main/html/rd/p/000001688.000026633.html
名古屋テレビ放送株式会社,,清水伸司,清水伸司 様,,https://www.nagoyatv.com/,情報通信,地愛知県,052-331-8111,未上場,1961,PR TIMES,https://prtimes.jp/main/html/rd/p/000001549.000014977.html
株式会社mov,,渡邊誠,渡邊誠 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000001314.000024246.html
株式会社石川ツエーゲン,,米沢寛,米沢寛 様,,http://www.zweigen-kanazawa.jp/,サービス業,神奈川県,076-254-5081,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000001303.000045234.html
株式会社TORICO,,安藤拓郎,安藤拓郎 様,,https://www.torico-corp.com/,商業（卸売業、小売業）,東京都,03-6261-4346,東証グロース資本,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000001217.000005279.html
国境なき医師団(MSF)日本,,村田慎二郎,村田慎二郎 様,,https://www.msf.or.jp/,医療・福祉,東京都,,未上場,1992,PR TIMES,https://prtimes.jp/main/html/rd/p/000000814.000004782.html
株式会社パステルコミュニケーション,,吉野加容子,吉野加容子 様,,https://desc-lab.com/,サービス業,東京都,,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000714.000054387.html
株式会社　岩崎書店,,小松崎敬子,小松崎敬子 様,,http://www.iwasakishoten.co.jp/,製造業,東京都,03-6626-5080,未上場,1934,PR TIMES,https://prtimes.jp/main/html/rd/p/000000453.000035751.html
株式会社ハックルベリー,,安藤,安藤 様,,https://huckleberry-inc.com/,情報通信,東京都,,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000395.000068061.html
東京メトロポリタンテレビジョン株式会社,,佐藤真紀,佐藤真紀 様,,https://s.mxtv.jp/,情報通信,東京都,0570-070-009,未上場,1993,PR TIMES,https://prtimes.jp/main/html/rd/p/000000181.000122205.html
株式会社ベター・プレイス,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000179.000074850.html
