name,cat,role,strategy,url,robots,reachable,http,sitemap,nameLikely,companyLinks,loginWall,note
マイナビ,1-大手総合,competitor,media-detail,https://job.mynavi.jp/,allow,yes,,yes,,32,,
リクナビ,1-大手総合,competitor,media-detail,https://job.rikunabi.com/,allow,yes,,yes,,35,,
キャリタス就活,1-大手総合,competitor,media-detail,https://job.career-tasu.jp/,allow,yes,,yes,,9,,
あさがくナビ,1-大手総合,competitor,media-detail,https://www.gakujo.ne.jp/,allow,yes,,yes,,10,,
ONE CAREER,1-大手総合,competitor,media-detail,https://www.onecareer.jp/,allow,yes,,yes,,3,,
Wantedly,1-大手総合,sales,sitemap-discovery,https://www.wantedly.com/,allow,yes,,yes,,3,,
ブンナビ,1-大手総合,sales,recruit-page-link,https://bunnabi.jp/,allow,yes,,yes,,3,,
type就活,1-大手総合,sales,recruit-page-link,https://shukatsu.type.jp/,allow,no,,?,,,,fetch failed
ダイヤモンド就活ナビ,1-大手総合,sales,recruit-page-link,https://www.shukatsu.jp/,allow,no,,?,,,,HTTP 403
キャリアパーク就活,1-大手総合,sales,recruit-page-link,https://careerpark.jp/,allow,yes,,no,,3,,
アクセス就活,1-大手総合,either,blocked-or-login,,,,,,,,,URL未確定(要確認)
就活会議,1-大手総合,sales,recruit-page-link,https://syukatsu-kaigi.jp/,allow,yes,,yes,,6,,
OpenWork,1-大手総合,competitor,blocked-or-login,https://www.openwork.jp/,allow,yes,,no,,1,,
みんなの就職活動日記,1-大手総合,sales,blocked-or-login,https://www.nikki.ne.jp/,allow,yes,,yes,,3,,
unistyle,1-大手総合,sales,recruit-page-link,https://unistyleinc.com/,allow,yes,,yes,,11,,
就活ノート,1-大手総合,sales,recruit-page-link,https://shukatsu-note.com/,allow,no,,?,,,,fetch failed
はりまっち,2-地方特化,sales,recruit-page-link,https://job.hari-match.com/,allow,yes,,yes,,7,,
名大社 新卒ナビ,2-地方特化,sales,recruit-page-link,https://shushoku.meidaisha.co.jp/,allow,yes,,?,,0,,
にいがた就職応援団ナビ,2-地方特化,sales,recruit-page-link,https://www.niigata-job.ne.jp/,allow,yes,,?,,4,,
ジョブキタ就活,2-地方特化,sales,recruit-page-link,https://www.jobkita.jp/shukatsu/,allow,yes,,yes,,13,likely,
Kocchake!,2-地方特化,sales,recruit-page-link,https://kocchake.com/,allow,yes,,yes,,16,,
やまがた就活ナビ,2-地方特化,sales,recruit-page-link,https://www.yamagata-np.jp/yamanavi/,allow,yes,,yes,,0,,
とちぎ就活ナビ,2-地方特化,sales,recruit-page-link,https://www.shimotsuke-navi.com/,allow,yes,,?,,2,,
ぐんま就活ジャンプス,2-地方特化,sales,recruit-page-link,https://g-jumps.jp/,allow,yes,,yes,,4,,
千葉キャリ,2-地方特化,sales,recruit-page-link,https://www.chibacari.com/,allow,yes,,yes,,5,,
しずキャリ,2-地方特化,sales,recruit-page-link,https://sizcari.jp/,allow,yes,,?,,3,,
いしかわ就活スマートナビ,2-地方特化,sales,recruit-page-link,https://jobnavi-i.jp/,allow,yes,,?,,10,,
就活ふくい,2-地方特化,sales,recruit-page-link,https://fukui-syukatsu.com/,allow,yes,,yes,,4,,
291JOBS新卒,2-地方特化,sales,media-detail,https://291jobs.pref.fukui.lg.jp/shinsotsu/,allow,yes,,no,,7,,
オカジョブ,2-地方特化,competitor,recruit-page-link,https://www.okajob.com/,allow,yes,,?,,14,,
ヒロジョブ,2-地方特化,competitor,recruit-page-link,https://www.hirojob.com/,allow,yes,,?,,14,,
カガワジョブ,2-地方特化,competitor,recruit-page-link,https://www.kagawajob.com/,allow,no,,?,,,,HTTP 410
とっとり就活ナビ,2-地方特化,sales,media-detail,https://furusato.tori-info.co.jp/torinavi/,allow,yes,,?,,4,,
ジョブカフェしまね,2-地方特化,sales,media-detail,https://www.gogo-jobcafe-shimane.jp/,allow,yes,,no,,13,,
やまぐちジョブナビ,2-地方特化,sales,recruit-page-link,https://www.joby.jp/,allow,yes,,yes,,9,,
スイッチナビ,2-地方特化,sales,recruit-page-link,https://switch-navi.jp/,allow,yes,,?,,22,,
ケンジン,2-地方特化,sales,recruit-page-link,https://www.kenjin.ne.jp/,allow,yes,,no,,0,,
とくしま就活ナビ,2-地方特化,sales,recruit-page-link,https://tksjob.com/,allow,no,,?,,,,HTTP 403
ジョブナビとくしま,2-地方特化,sales,media-detail,https://jobnavi.pref.tokushima.lg.jp/,allow,yes,,no,,4,,
さがジョブナビ,2-地方特化,sales,media-detail,https://saga-job.jp/,allow,yes,,?,,10,,
オオイタジョブパーク,2-地方特化,sales,media-detail,https://oita-jobpark.jp/,allow,yes,,yes,,8,,
かごJob,2-地方特化,sales,media-detail,https://www.kagojob.jp/,allow,yes,,no,,101,,
デビュー(Debut),2-地方特化,sales,recruit-page-link,http://www.kumamoto-keizai.co.jp/debut/,allow,yes,,no,,4,,
タイムス就職ナビ,2-地方特化,sales,recruit-page-link,https://timesnavi.jp/,allow,yes,,?,,0,,
りゅうナビ,2-地方特化,sales,recruit-page-link,https://www.ryunavi.com/,allow,yes,,no,,0,likely,
福岡就活Plus,2-地方特化,sales,recruit-page-link,https://fukuoka-shukatsu.jp/,allow,yes,,yes,,2,,
UIわかやま就職ガイド,2-地方特化,sales,media-detail,https://www.wakayama-uiturn.jp/,allow,yes,,yes,,23,,
じもナビ,2-地方特化,sales,recruit-page-link,https://jimo-navi.com/,allow,yes,,yes,,2,,
