法人名,業種,業種マクロ,従業員数レンジ,従業員数バンド,年間新卒採用数,採用数バンド,都道府県,地域ブロック,電話,上場,設立年,社齢,補助金採択,基本プラン,現在プラン,更新前プラン,プラン変更,アップグレード,無料トライアル経由,有料開始月,次回更新月,テナー月数,獲得コホート年,獲得チャネル,SFリード状況,メールドメイン,ドメイン種別,メール担当種別,LINE名不一致,SF突合,gBiz突合
株式会社ネオキャリア,人材派遣・人材紹介,人材・専門・公共サービス,2千～5千人未満,11:2000-5000,3～5名,2:3-5,東京都,関東,03-5908-8005,,,,,スタンダード,スタンダード,,,,,,,,2018,マイナビ掲載リスト,99：アーカイブ,n2i.jp,独自ドメイン,個人名/その他,あり,○,
株式会社三峰,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2018,,,mitsumine.co.jp,独自ドメイン,個人名/その他,,,
株式会社トレーダー,,,,,,,,,,,,,,スタンダード,スタンダード,スタンダード,,,,2025/12,2026/11,11,2018,,,otakara.co.jp,独自ドメイン,採用専用,,,
株式会社デイリーはやしや,,,,,,,,,,,,,,スタンダード,スタンダード,スタンダード,,,,2025/12,2026/11,11,2018,,,d-hayashiya.co.jp,独自ドメイン,人事・総務,,,
株式会社プレミアアシスト,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2018,,,prestigein.com,独自ドメイン,採用専用,,,
株式会社ライブズ,不動産取り引き,建設・不動産,50～100人未満,06:50-100,不明,,東京都,関東,03-5331-3399,,,,,ミドルプラン,ミドルプラン,ミドルプラン,,,,2026/07,2027/06,11,2018,,99：アーカイブ,lives-group.com,独自ドメイン,採用専用,,○,
株式会社コモディイイダ,飲食料品小売業,流通・小売,500～1千人未満,09:500-1000,不明,,,,339161111,,,,,スタンダード,スタンダード,スタンダード,,,,2026/01,2026/12,11,2019,,99：アーカイブ,comodi-iida.co.jp,独自ドメイン,人事・総務,,○,
アイエスジー株式会社,商社（化学・石油・ガス・電気）,製造・メーカー,,,6～10名,3:6-10,千葉県,関東,047-429-1234,,,,,ミドルプラン,ミドルプラン,スタンダード,あり,,,2026/03,2027/02,11,2019,マイナビ掲載リスト,99：アーカイブ,isg.inc,独自ドメイン,採用専用,あり,○,
兼松コミュニケーションズ株式会社,商社（通信）,商社・卸,,,21～25名,6:21-30,東京都,関東,03-5308-1085,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/03,2027/02,11,2019,マイナビ掲載リスト,99：アーカイブ,kcs.ne.jp,独自ドメイン,人事・総務,,○,
株式会社ダンスノットアクト,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/03,2027/02,11,2019,,,dancenotact.com,独自ドメイン,採用専用,,,
