企業名,電話,メール,業種,従業員数レンジ,採用人数,リード状況,経路温度,セグメント,提案プラン,類似スコア,成約見込み,経路lift,業種lift,規模lift,採用lift,確信軸数,なぜ類似
株式会社クレスコ・ジェイキューブ,03-6417-9995,recruit@cresco-jcube.co.jp,メーカー （機械・電気・電子）,300～500人未満,16～20名,02：担当者未接触,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,95,95.0%,1.77x,1.75x,1.41x,1.52x,4,経路[アウトバウンド架電]1.77x｜業種[メーカー （機械・電気・電子）]1.75x｜規模[300-500名]1.41x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込95.0%
ミノリ農業協同組合,0795-42-0920,jinjikyouiku@ja-minori.or.jp,公共インフラ・エネルギー・環境,300～500人未満,6～10名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,95,95.0%,1.77x,1.58x,1.41x,1.55x,4,経路[アウトバウンド架電]1.77x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込95.0%
マツサカ株式会社,086-425-9111,,流通・小売・物販,100～300人未満,6～10名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,95,95.0%,1.77x,2.35x,1.12x,1.55x,4,経路[アウトバウンド架電]1.77x｜業種[流通・小売・物販]2.35x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込95.0%
株式会社トキハインダストリー,097-553-1111,,流通・小売・物販,1千～2千人未満,6～10名,89：リサイクル,未タグ(温/手入力),有効(上限),スタンダード提案,95,95.0%,1.26x,2.35x,1.30x,1.55x,4,経路[未タグ(温/手入力)]1.26x｜業種[流通・小売・物販]2.35x｜規模[1000-2000名]1.30x｜新卒採用[6-10名]1.55x｜スタンダード提案｜成約見込95.0%
株式会社中京銀行,052-249-1609,,金融・保険,1千～2千人未満,31～35名,89：リサイクル,アウトバウンド架電,有効(上限),スタンダード提案,95,95.0%,1.77x,2.07x,1.30x,1.41x,4,経路[アウトバウンド架電]1.77x｜業種[金融・保険]2.07x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込95.0%
菊池地域農業協同組合,0968-23-3501,soumu-jinj03@kik.kasias.or.jp,公共インフラ・エネルギー・環境,300～500人未満,11～15名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,95,95.0%,1.77x,1.58x,1.41x,1.52x,4,経路[アウトバウンド架電]1.77x｜業種[公共インフラ・エネルギー・環境]1.58x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込95.0%
西村ジョイ株式会社,087-885-8000,fukuhama@nishimura-joy.co.jp,流通・小売・物販,300～500人未満,11～15名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,95,95.0%,1.77x,2.35x,1.41x,1.52x,4,経路[アウトバウンド架電]1.77x｜業種[流通・小売・物販]2.35x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込95.0%
長崎船舶装備株式会社,095-828-6576,saiyou@oo365.nssjpn.co.jp,その他サービス（個人向け）,300～500人未満,6～10名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,95,95.0%,1.77x,1.45x,1.41x,1.55x,4,経路[アウトバウンド架電]1.77x｜業種[その他サービス（個人向け）]1.45x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込95.0%
佐賀トヨタ自動車株式会社,0952-24-4171,,商社,300～500人未満,11～15名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,95,95.0%,1.77x,1.51x,1.41x,1.52x,4,経路[アウトバウンド架電]1.77x｜業種[商社]1.51x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込95.0%
株式会社ホンダモビリティ中四国,086-805-8080,hagihara.ckw00@honda-auto.ne.jp,商社,300～500人未満,6～10名,89：リサイクル,アウトバウンド架電,主戦場(スイート),ミニマム/ミドル,95,95.0%,1.77x,1.51x,1.41x,1.55x,4,経路[アウトバウンド架電]1.77x｜業種[商社]1.51x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込95.0%
