企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,83.7,0,JOB_DOWN|NEW_QUERY,2,2027,,,○,2026-07-06T04:00:03.149Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社GUM,,68.1,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社Meta Sales,,63.6,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
ピアス株式会社,,63.4,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
ベンタス株式会社,,58.0,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:40.266Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社リクルートスタッフィング,,55.9,0,GONE,1,,,,○,2026-06-18T13:23:20.303Z,2026-07-11T22:00:03.185Z,2026-07-11
マンパワーグループ株式会社,,52.2,0,REAPPEARED,2,,,○,○,2026-06-18T13:23:40.266Z,2026-07-11T22:00:03.185Z,2026-07-11
ギブクリエーション株式会社,,52.2,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社キソシン,,51.0,0,GONE,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-11T22:00:03.185Z,2026-07-11
パーソルエクセルHRパートナーズ株式会社,,50.6,0,JOB_DOWN,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社Creer,,49.4,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
パーソルテンプスタッフ株式会社,,47.6,0,JOB_DOWN,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社Le Lien,,46.3,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社プロジェクトトリガー,,45.5,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社ELM,,44.4,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
本田技研工業株式会社,,44.1,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社alBee,,43.7,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-11T22:00:03.185Z,2026-07-11
ヒューマンリソシア株式会社,,42.6,0,JOB_DOWN,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-11T22:00:03.185Z,2026-07-11
JAGフィールド株式会社,,40.3,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社大斗,,38.4,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社ネオキャリア,,38.1,0,JOB_DOWN,4,,,,○,2026-06-18T13:23:20.303Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社ELシステム,,37.8,0,NEW_QUERY,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社I・PARTNERS,,34.4,0,GONE,2,,,,○,2026-07-04T04:00:03.351Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社リクルートR&Dスタッフィング,,33.5,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社スタッフサービス,,33.0,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社三松,,32.6,0,GONE,1,2027,,,○,2026-07-10T04:00:09.031Z,2026-07-11T22:00:03.185Z,2026-07-11
JHRconsulting株式会社,,29.9,0,GONE,3,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社マイナビワークス,,29.6,0,JOB_DOWN,3,,,,○,2026-07-05T22:00:07.598Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社ワクトリ,,29.2,0,GONE,2,,,,○,2026-07-10T10:00:02.569Z,2026-07-11T22:00:03.185Z,2026-07-11
株式会社enrich technology,,27.5,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T22:00:03.185Z,2026-07-11
