企業名,法人番号,採用担当者名,担当者確度,取得手法,取得元,役職,部署,根拠URL,根拠,電話番号,従業員数,業種,都道府県,新卒フラグ,公式URL,取得日
株式会社CHOOSE,,,,,,,,,,,,,,,,2026-06-29
バンドー化学株式会社,,,,,,,,,,078-304-2935,,製造業,：兵庫県,,,2026-06-29
株式会社マイトラシス,,,,,,,,,,,,情報通信,東京都,,https://www.maitrasys.tech/,2026-06-29
株式会社 東急パワーサプライ,,,,,,,,,,,,,,,,2026-06-29
株式会社KMS,,,,,,,,,,,,,東京都,,,2026-06-29
Hyundai Mobility Japan 株式会社,,,,,,,,,,,,製造業,神奈川県,,https://www.hyundai.com/jp/,2026-06-29
株式会社ジェイック,,,,,,,,,,,,,東京都,,,2026-06-29
深圳市道格创想电子商务有限公司,,,,,,,,,,,,製造業,,,,2026-06-29
プロトスター株式会社,,,,,,,,,,,,サービス業,東京都,,http://www.theprotostar.co/,2026-06-29
ヤンマーホールディングス株式会社,,,,,,,,,,,,水産・農林業,大阪府,,,2026-06-29
Surfshark B.V.,,,,,,,,,,,,サービス業,,,https://surfshark.com/ja,2026-06-29
一般社団法人社会基盤情報流通推進協議会,,,,,,,,,,03-6455-1845,,財団法人・社団法人・宗教法人,東京都,,https://aigid.jp/,2026-06-29
株式会社イーカムグループ,,,,,,,,,,092-477-2885,,商業（卸売業、小売業）,地福岡県,,http://ecome.co.jp/,2026-06-29
株式会社ヘンリー,,,,,,,,,,03-6773-5778,,医療・福祉,大阪府,,https://henry.jp/,2026-06-29
Direava株式会社,,,,,,,,,,03-6256-8331,,製造業,東京都,,https://direava.com,2026-06-29
株式会社愛しとーと,,,,,,,,,,092-954-0668,,商業（卸売業、小売業）,：福岡県,,https://aishitoto.co.jp/,2026-06-29
メディアリンク株式会社,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社　東京創元社,,,,,,,,,,03-3268-8201,,情報通信,北海道,,http://www.tsogen.co.jp/,2026-06-29
AI Lab 株式会社,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社丸善ジュンク堂書店,,,,,,,,,,,,商業（卸売業、小売業）,東京都,,https://www.maruzenjunkudo.co.jp/,2026-06-29
RISE KANSAI,,,,,,,,,,,,サービス業,大阪府,,https://www.risekansai.com/,2026-06-29
株式会社Linksenpai,,,,,,,,,,,,教育・学習支援業,東京都,,https://linksenpai.com/,2026-06-29
株式会社mov,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社ミショナ,,,,,,,,,,050-3746-2996,,情報通信,：福岡県,,http://missiona.co/,2026-06-29
名古屋テレビ放送株式会社,,,,,,,,,,052-331-8111,,情報通信,地愛知県,,https://www.nagoyatv.com/,2026-06-29
株式会社扶桑社,,,,,,,,,,,,商業（卸売業、小売業）,東京都,,http://www.fusosha.co.jp/,2026-06-29
株式会社石川ツエーゲン,,,,,,,,,,076-254-5081,,サービス業,神奈川県,,http://www.zweigen-kanazawa.jp/,2026-06-29
株式会社TORICO,,,,,,,,,,03-6261-4346,,商業（卸売業、小売業）,東京都,,https://www.torico-corp.com/,2026-06-29
国境なき医師団(MSF)日本,,,,,,,,,,,,医療・福祉,東京都,,https://www.msf.or.jp/,2026-06-29
株式会社ハックルベリー,,,,,,,,,,,,情報通信,東京都,,https://huckleberry-inc.com/,2026-06-29
株式会社ベター・プレイス,,,,,,,,,,,,,東京都,,,2026-06-29
有限会社ライラクス,,,,,,,,,,06-6785-0880,,製造業,大阪府,,https://www.laylax.com/LayLax,2026-06-29
東京メトロポリタンテレビジョン株式会社,,,,,,,,,,0570-070-009,,情報通信,東京都,,https://s.mxtv.jp/,2026-06-29
株式会社　岩崎書店,,,,,,,,,,03-6626-5080,,製造業,東京都,,http://www.iwasakishoten.co.jp/,2026-06-29
株式会社パステルコミュニケーション,,,,,,,,,,,,サービス業,東京都,,https://desc-lab.com/,2026-06-29
株式会社メディアオーパスプラス,,,,,,,,,,078-222-1311,,情報通信,：兵庫県,,http://www.mediaopusplus.com/,2026-06-29
東洋建設株式会社,,東洋会,0.66,自社採用ページ深掘り,自社採用ページ,採用,,https://www.toyo-const.co.jp/recruit/,"採用
 
 
 
 
 
 
 
 
 
 
 
 東洋会",03-6361-5450,,建設業,東京都,,https://www.toyo-const.co.jp/,2026-06-29
公益社団法人日本観光振興協会,,,,,,,,,,03-6435-8331,,財団法人・社団法人・宗教法人,東京都,,https://www.nihon-kankou.or.jp/home/,2026-06-29
株式会社エムフロ,,,,,,,,,,,,情報通信,東京都,,https://www.craudia.com/,2026-06-29
アイパークインスティチュート株式会社,,,,,,,,,,,,サービス業,神奈川県,,,2026-06-29
株式会社FOOLS,,,,,,,,,,03-6908-9966,,商業（卸売業、小売業）,東京都,,https://www.fools-inc.com/,2026-06-29
株式会社YOCABITO,,,,,,,,,,,,商業（卸売業、小売業）,：岐阜県,,https://corp.yocabito.co.jp/,2026-06-29
一般社団法人不動産クラウドファンディング協会,,,,,,,,,,,,財団法人・社団法人・宗教法人,東京都,,,2026-06-29
株式会社シーズ・ファクトリー,,,,,,,,,,03-5562-0841,,情報通信,東京都,,https://cs-factory.com,2026-06-29
THE J.V.株式会社,,,,,,,,,,080-4198-3989,,サービス業,東京都,,,2026-06-29
株式会社モンテール,,,,,,,,,,048-994-2300,,製造業,：埼玉県,,http://www.monteur.co.jp/,2026-06-29
自遊人倶楽部,,,,,,,,,,080-2073-0858,,商業（卸売業、小売業）,神奈川県,,,2026-06-29
TITAN CONTENT株式会社,,,,,,,,,,,,サービス業,東京都,,https://thetitan.xyz,2026-06-29
株式会社IR Robotics,,,,,,,,,,03-6772-8482,,サービス業,東京都,,https://ir-robotics.co.jp/,2026-06-29
辰巳出版株式会社,,,,,,,,,,03-5931-5920,,情報通信,愛知県,,https://tg-net.co.jp/,2026-06-29
株式会社KTXアーキラボ,,,,,,,,,,079-296-3696,,建設業,東京都,,https://ktx.space/,2026-06-29
株式会社西武・プリンスホテルズワールドワイド,,,,,,,,,,03-5928-1111,,サービス業,：長野県,,https://www.princehotels.co.jp/,2026-06-29
株式会社Ballista,,,,,,,,,,03-3258-2055,,サービス業,東京都,,https://ballista.co.jp/,2026-06-29
株式会社gumi,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社ぐるなび,,,,,,,,,,03-6744-6463,,情報通信,東京都,,http://www.gnavi.co.jp/,2026-06-29
GMOあおぞらネット銀行株式会社,,,,,,,,,,,,金融・保険業,東京都,,https://gmo-aozora.com/,2026-06-29
スカイストーン株式会社,,,,,,,,,,,,,大阪府,,,2026-06-29
がばいAIコンサルティング株式会社,,,,,,,,,,,,,：佐賀県,,,2026-06-29
エン株式会社,,,,,,,,,,03-3342-4506,,サービス業,東京都,,http://corp.en-japan.com/,2026-06-29
Shants株式会社,,,,,,,,,,090-5349-5601,,商業（卸売業、小売業）,東京都,,,2026-06-29
株式会社KADOKAWA,,,,,,,,,,,,情報通信,東京都,,https://group.kadokawa.co.jp/,2026-06-29
株式会社クリーク・アンド・リバー社,,,,,,,,,,03-4550-0008,,サービス業,東京都,,https://www.cri.co.jp,2026-06-29
株式会社TSIホールディングス,,,,,,,,,,03-5785-6400,,商業（卸売業、小売業）,東京都,,https://www.tsi-holdings.com/,2026-06-29
株式会社Scale Technology,,,,,,,,,,,,,広島県,,,2026-06-29
乾産業株式会社,,,,,,,,,,072-996-3339,,商業（卸売業、小売業）,大阪府,,https://inui-sangyo.co.jp/,2026-06-29
Fotographer AI株式会社,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社Elith,,,,,,,,,,,,情報通信,東京都,,https://www.elith.ai/,2026-06-29
Biz Architects株式会社,,,,,,,,,,090-7249-7362,,サービス業,東京都,,https://biz-architects.co.jp/,2026-06-29
スターシーズ株式会社,,,,,,,,,,03-6721-5891,,商業（卸売業、小売業）,東京都,,https://starseeds.co.jp/ir/,2026-06-29
株式会社22世紀アート,,,,,,,,,,,,,東京都,,,2026-06-29
スウォッチグループジャパン株式会社　ブレゲ事業本部,,,,,,,,,,03-6254-7171,,商業（卸売業、小売業）,東京都,,https://www.breguet.com/jp,2026-06-29
株式会社トレプロ,,,,,,,,,,03-4400-6733,,情報通信,東京都,,https://tre-pro.co.jp/,2026-06-29
ドットアンドノード株式会社,,,,,,,,,,050-5473-6272,,サービス業,（静岡県,,https://dot-node.com/,2026-06-29
GO株式会社,,,,,,,,,,,,,,,,2026-06-29
国際情報マネジメント有限会社,,,,,,,,,,0422-72-8055,,情報通信,東京都,,https://www.challenge-plus.jp/,2026-06-29
株式会社東日本放送,,,,,,,,,,022-304-5005,,サービス業,では、県,,https://www.khb-tv.co.jp/,2026-06-29
株式会社HYBE JAPAN,,,,,,,,,,,,サービス業,,,https://hybecorp.com/jpn,2026-06-29
株式会社アイベック,,,,,,,,,,,,情報通信,：福岡県,,,2026-06-29
株式会社スムーズ,,,,,,,,,,,,,東京都,,,2026-06-29
株式会社enish,,,,,,,,,,03-6447-4020,,情報通信,東京都,,http://www.enish.com/,2026-06-29
野口観光マネジメント株式会社,,,,,,,,,,0143-84-2350,,飲食店・宿泊業,北海道,,https://www.noguchi-g.com/,2026-06-29
株式会社DRESS DESIGN WORKS,,,,,,,,,,06-6485-8835,,商業（卸売業、小売業）,東京都,,https://d-d-w.net/company/index.html,2026-06-29
株式会社エフエム東京,,,,,,,,,,03-3221-0080,,情報通信,東京都,,https://www.tfm.co.jp/,2026-06-29
