企業名,公式URL,採用担当者名,役職,部署,確度,取得元,根拠URL,根拠,マイナビ掲載,電話番号,メール,卒年,募集職種数,採用予定人数
株式会社アート,https://www.art-japan.co.jp/company/active_promotion,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp232089/outline.html,マイナビ掲載確認(担当者名は非公開),○,089-961-1400,,2026,,
株式会社イボキン,https://www.ibokin.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp220384/outline.html,マイナビ掲載確認(担当者名は非公開),○,0791-72-3531,,2026,,
関場建設株式会社,https://www.sekiba.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp108429/outline.html,マイナビ掲載確認(担当者名は非公開),○,0244-25-2525,,2026,,
株式会社イナハラ,https://www.inahara.co.jp/,,,本社総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp272359/outline.html,マイナビ掲載確認(担当者名は非公開),○,078-231-4088,,2026,4,1
共栄株式会社,http://www.kyoyei.com/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp84842/outline.html,マイナビ掲載確認(担当者名は非公開),○,078-321-2121,somu@kyoyei.com,2026,,1
株式会社秀光,https://www.shukoh.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp54310/outline.html,マイナビ掲載確認(担当者名は非公開),○,044-543-5320,,2026,,
株式会社竹花組,https://www.takehanagumi.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp228305/outline.html,マイナビ掲載確認(担当者名は非公開),○,0267-53-2345,,2026,,
株式会社アスピア,https://asupia.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp81910/outline.html,マイナビ掲載確認(担当者名は非公開),○,0263-32-8855,,2026,,
株式会社ユニオン,https://www.theunion.co.jp/,,,総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp250977/outline.html,マイナビ掲載確認(担当者名は非公開),○,011-746-8281,,2026,,1
ピコシステム株式会社,https://www.picosystem.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp84434/outline.html,マイナビ掲載確認(担当者名は非公開),○,086-246-1225,recruit@picosystem.co.jp,2026,,6
三展ミネコンサルタント株式会社,https://www.santenmine.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp254483/outline.html,マイナビ掲載確認(担当者名は非公開),○,029-826-2536,,2026,,
永大化工株式会社,https://www.eidaikako.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp215054/outline.html,マイナビ掲載確認(担当者名は非公開),○,06-6791-3355,,2026,,6
埼玉西ヤクルト販売株式会社,https://www.pref.saitama.lg.jp/,,,総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp290391/outline.html,マイナビ掲載確認(担当者名は非公開),○,04-2964-8960,soumu@saitamanishi-yakult.co.jp,2026,,1
八十二リース株式会社,https://bank.82group.jp/index.html,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp96263/outline.html,マイナビ掲載確認(担当者名は非公開),○,026-226-8282,,2026,,1
日信防災株式会社,https://www.nissin-b.co.jp/,,,総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp261909/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-3862-4172,,2026,,6
株式会社アビリブ,https://www.ab-net.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp274866/outline.html,マイナビ掲載確認(担当者名は非公開),○,052-262-8041,,2026,,
株式会社日新システムズ,https://www.co-nss.co.jp/company/,,,総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp81271/outline.html,マイナビ掲載確認(担当者名は非公開),○,075-344-7880,,2026,4,6
サンライズ・エンジニアリング株式会社,https://sec-sunrise.co.jp/,,,総務部,,マイナビ,https://job.mynavi.jp/27/pc/search/corp74959/outline.html,マイナビ掲載確認(担当者名は非公開),○,04-7181-8222,soumubu@sec-sunrise.com,2026,,16
大和機工株式会社,https://www.daiwakiko.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp105173/outline.html,マイナビ掲載確認(担当者名は非公開),○,0562-47-2161,,2026,,
株式会社渡商会,https://www.watari.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp55722/outline.html,マイナビ掲載確認(担当者名は非公開),○,045-441-1321,,2026,,
富士テクノロジー株式会社,https://fut.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp219827/outline.html,マイナビ掲載確認(担当者名は非公開),○,054-204-2001,,2026,,
株式会社オービス,https://www.orvis.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp210487/outline.html,マイナビ掲載確認(担当者名は非公開),○,086-292-6123,obis-so@obis.co.jp,2026,,
愛媛トヨペット株式会社,https://www.e-tp.jp/corporate/csr,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp87731/outline.html,マイナビ掲載確認(担当者名は非公開),○,089-972-0426,,2026,,6
愛媛トヨタ自動車株式会社,https://www.ehime-toyota.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp264313/outline.html,マイナビ掲載確認(担当者名は非公開),○,089-941-5171,,2026,,
東洋株式会社,https://www.toyo.ac.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp261752/outline.html,マイナビ掲載確認(担当者名は非公開),○,0225-94-3311,,2026,,
高沢産業株式会社,https://www.takasawa.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp90661/outline.html,マイナビ掲載確認(担当者名は非公開),○,026-228-0777,,2026,,1
滋賀日野自動車株式会社,https://www.pref.shiga.lg.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp221033/outline.html,マイナビ掲載確認(担当者名は非公開),○,077-552-2533,,2026,,
株式会社アークス,https://www.arcs-g.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp107755/outline.html,マイナビ掲載確認(担当者名は非公開),○,011-530-1210,arcs-saiyo@arcs-g.co.jp,2026,,1
日本連合警備株式会社,https://www.cao.go.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp201070/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-3260-6431,,2026,,
株式会社つむら工芸,https://tsumura-kogei.com/recruitwork/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp258443/outline.html,マイナビ掲載確認(担当者名は非公開),○,06-6448-2761,,2026,,
朝日金属株式会社,http://www.asahi-metal.com/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp82206/outline.html,マイナビ掲載確認(担当者名は非公開),○,052-901-2111,,2026,,
株式会社チップトン,https://www.tipton.co.jp/,,,人事課,,マイナビ,https://job.mynavi.jp/27/pc/search/corp89297/outline.html,マイナビ掲載確認(担当者名は非公開),○,052-691-5177,soumu@tipton.co.jp,2026,,
池田煖房工業株式会社,http://www.ikedan.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp21929/outline.html,マイナビ掲載確認(担当者名は非公開),○,011-726-1151,,2026,,
株式会社セントラルユニ,https://corporate.central-uni.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp65930/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-3556-1331,,2026,,6
日本リック株式会社,https://www.nipponrick.co.jp/,,,,,マイナビ,https://job.mynavi.jp/27/pc/search/corp219957/outline.html,マイナビ掲載確認(担当者名は非公開),○,03-5216-5311,,2026,,
