企業名,法人番号,採用担当者名,担当者確度,取得手法,取得元,役職,部署,根拠URL,根拠,電話番号,従業員数,業種,都道府県,新卒フラグ,公式URL,取得日
関場建設株式会社,1380001015636,坪井,0.82,自社採用ページ深掘り,自社採用ページ,採用担当,,https://www.sekiba.co.jp/recruit/,採用担当の坪井です,0244-25-2525,133,土木工事、建築工事、住宅建築・リフォ－ム工事,福島県南相馬市原町区錦町１丁目１番地,○,https://www.sekiba.co.jp/,2026-06-25
東洋株式会社,1460101001189,松尾 くみ,0.7,自社採用ページ深掘り,自社採用ページ,人事部,人事部,https://www.toyo.ac.jp/recruit/staff,"人事課
松尾 くみ",03-3945-8172,150,,北海道帯広市西十条南９丁目７番地,,https://www.toyo.ac.jp/,2026-06-25
株式会社テクアノーツ,1120901030611,小田,0.7,自社採用ページ深掘り,自社採用ページ,人事部,人事部,https://www.tequanauts.co.jp/freshman/,採用担当 小田・舟木,048-424-2800,150,潜水工事、浮体構造物や水草刈取船の設計・製作、水中ロボットによる水道施設メンテナンスなど水環境社会インフラの整備,埼玉県川口市芝下１丁目１番３号,,https://www.tequanauts.co.jp/,2026-06-25
ダイキンＭＲエンジニアリング株式会社,1120001133315,田中,0.7,自社採用ページ深掘り,自社採用ページ,人事,,https://www.dmre.daikin.co.jp/recruit/,人事グループ田中,06-4805-7291,127,船舶用空調装置エンジニアリング 船舶用冷凍装置エンジニアリング,大阪府大阪市淀川区西中島５丁目５番１５号,○,https://www.dmre.daikin.co.jp/,2026-06-25
株式会社クエリー,1021001019662,,,,,,,,,045-228-7250,130,情報処理サービス（ソフトウェア開発および受託） コンピュータの導入および利用に関するコンサルティング コンピュータ・通信,神奈川県横浜市西区みなとみらい４丁目６番２号みなとみらいグランドセントラルタワー４階,○,https://www.query.jp/health/,2026-06-25
大和機工株式会社,1180001092588,,,,,,,,,0562-47-2161,180,建設機械・産業機械・電子機器等の製造、販売、修理、リース,愛知県大府市梶田町１丁目１７１番地,○,https://www.daiwakiko.co.jp/,2026-06-25
株式会社渡商会,2020001024960,鈴木,0.7,自社採用ページ深掘り,自社採用ページ,中途採用,,https://www.watari.co.jp/recruit/recruitment,採用担当：鈴木,045-441-1321,151,1．高圧ガス、化学品、関連機械機器、石油類の販売 2．設備工事の設計、施工 3．ガス関連設備の開発・設計・施工・保守管理,神奈川県横浜市神奈川区子安通２丁目２３４番地,○,https://www.watari.co.jp/,2026-06-25
株式会社アート,1010701014775,,,,,,,,,03-3447-1401,100,セキュリティ製品の製造・販売,神奈川県川崎市中原区市ノ坪３２２番地７,○,https://www.art-japan.co.jp/company/active_promotion,2026-06-25
池田煖房工業株式会社,1430001001267,,,,,,,,,011-726-1151,188,設備工事業,北海道札幌市北区北十二条西３丁目２番２０号,○,http://www.ikedan.co.jp/,2026-06-25
株式会社奥井組,2030001026824,,,,,,,,,04-2931-1091,180,運輸業 建設業（建築・土木等） 機械設置業 物流業,埼玉県入間市新光１９１番地１,○,https://okuigumi.co.jp/,2026-06-25
東洋警備保障株式会社,1290801002636,,,,,,,,,03-3945-8172,160,警備業,福岡県北九州市小倉北区今町１丁目１番４１号,,https://www.toyo.ac.jp/,2026-06-25
