企業名,法人番号,採用担当者名,担当者確度,取得手法,取得元,役職,部署,根拠URL,根拠,電話番号,従業員数,業種,都道府県,新卒フラグ,公式URL,取得日
日本高圧コンクリート株式会社,1430001020829,,,,,,,,,011-241-7105,304,コンクリート2次製品の製造販売 橋梁の設計・施工 その他付随工事,北海道札幌市中央区北三条西３丁目１番地５４,○,https://www.nihonkoatsu.co.jp/,2026-06-25
福岡酸素株式会社,1290001049544,,,,,,,,,092-518-2112,381,産業ガス・医療ガス・ＬＰガスの販売、高圧ガス関連機器・材料の販売、高圧ガス関連エンジニアリング、ソリューション事業,福岡県久留米市東町３３番地の２１,○,https://fksanso.co.jp/,2026-06-25
空研工業株式会社,1290001007221,,,,,,,,,092-741-5031,452,・冷却塔の製造・販売 ・空調機器の販売 ・管工事業,福岡県福岡市中央区大濠公園２番３９号,○,http://www.kuken.com/,2026-06-25
エア・ウォーター産業・医療ガス株式会社,2430001022196,,,,,,,,,011-859-8600,361,,北海道札幌市中央区北三条西３丁目１番地６,○,https://img-awi.co.jp/,2026-06-25
西菱電機株式会社,1140001078509,,,,,,,,,06-6345-4160,420,・防災情報通信システムの販売、保守等 ・携帯電話、パソコン等情報通信端末の販売、修理等,兵庫県伊丹市藤ノ木３丁目５番３３号,○,https://www.seiryodenki.co.jp/,2026-06-25
古河産機システムズ株式会社,1010001087927,,,,,,,,,03-6636-9500,478,荷役運搬設備、破砕設備、粉砕設備、環境設備、ポンプ設備、鋼構造物などの製造・販売・施工,東京都千代田区大手町２丁目６番４号,○,https://www.furukawa-sanki.co.jp/,2026-06-25
株式会社サンネット,1240001012779,,,,,,,,,082-248-4100,340,(1)コンピュータシステムの企画・設計・製造・メンテナンス等開発全般 (2)システム販売(営業)及びハード保守・オペレー,広島県広島市中区袋町４番２１号,○,http://www.csunnet.co.jp/,2026-06-25
仙台トヨペツト株式会社,1370001006652,,,,,,,,,0120-056-717,489,自動車販売及び修理,宮城県仙台市宮城野区苦竹２丁目８番１号,○,https://www.p-sendai.co.jp/,2026-06-25
グリーン産業株式会社,2110001001769,,,,,,,,,025-242-2711,405,建設業,新潟県新潟市中央区神道寺２丁目２番１０号,○,https://www.green-s.co.jp/,2026-06-25
株式会社市川工務店,1200001000374,,,,,,,,,058-251-2242,349,総合建設業,岐阜県岐阜市鹿島町６丁目２７番地,○,https://www.ic-group.co.jp/,2026-06-25
エネサーブ株式会社,2160001003901,,,,,,,,,0120-109-246,313,総合エネルギーサービス業,滋賀県大津市月輪２丁目１９番６号,○,https://www.eneserve.co.jp/,2026-06-25
株式会社エフコム,1380001004696,栗城,0.8,自社採用ページ深掘り,自社採用ページ,人事,事業支援本部,https://www.f-com.co.jp/recruit/newgraduate/,人事総務部 栗城（クリキ）,024-922-2555,365,【情報処理サービス業】 アウトソーシング、クラウドサービス、システム開発、機器販売、機器保守、ヘルプディスク、他,福島県郡山市堤下町１３番８号,○,https://www.f-com.co.jp/,2026-06-25
ニプロバスキュラー株式会社,1180001001887,,,,,,,,,052-269-5300,330,医療機器の輸入・開発・製造・販売,愛知県名古屋市中区栄４丁目５番３号ＫＤＸ名古屋栄ビル５階,○,https://www.nipro-vas.com/,2026-06-25
株式会社中島商会,2260001004880,,,,,,,,,086-232-2711,372,●塗料・化成品・塗装設備・塗装機器等の販売 ●塗装設備・ラインの稼働フォロー ●塗装における仕様・色彩の提案 ●塗料の調,岡山県岡山市北区柳町２丁目２番２３号,○,https://www.nakashima-shokai.co.jp/,2026-06-25
インバースネット株式会社,1020001036619,,,,,,,,,045-451-2411,350,〇自社製パーソナルコンピュータ、モバイル機器の開発、製造、販売 〇中古機器・機械の査定・買取・卸売・小売・設置作業・スク,神奈川県横浜市神奈川区新浦島町１丁目１番地２５,○,https://www.inversenet.co.jp/,2026-06-25
川北電気工業株式会社,1180001035290,,,,,,,,,0120-314-157,379,各種電気設備の設計・施工・工程管理・技術開発,愛知県名古屋市中区栄４丁目６番２５号,○,https://www.kawakita.co.jp/,2026-06-25
ユナイテッドトヨタ熊本株式会社,3330001003271,,,,,,,,,096-362-2111,470,自動車販売・修理,熊本県熊本市中央区十禅寺４丁目１番１号,○,https://www.united-toyotakumamoto.jp/,2026-06-25
東邦レオ株式会社,1120001085408,吉川稔,0.66,自社採用ページ深掘り,自社採用ページ,新卒採用,,https://www.toho-leo.co.jp/recruit/blog,新卒採用吉川稔,06-6767-1210,350,建築・緑化資材の販売及び施工,大阪府大阪市中央区上町１丁目１番２８号,○,https://www.toho-leo.co.jp/,2026-06-25
株式会社じょうてつ,1430001007925,,,,,,,,,011-811-6141,397,一般乗合旅客自動車運送業 一般貸切旅客自動車運送業 不動産業 物品販売業,北海道札幌市白石区東札幌一条１丁目１番８号,○,https://www.jotetsu.co.jp/,2026-06-25
ホシザキ北海道株式会社,1430001015639,,,,,,,,,011-841-4433,364,各種厨房機器の販売及び修理メンテナンス,北海道札幌市白石区菊水一条４丁目１番８号,○,https://www.hoshizaki-hokkaido.co.jp/,2026-06-25
株式会社スズキ自販埼玉,2030001004499,,,,,,,,,048-651-6524,365,スズキ軽四輪車、小型車の卸売・小売 中古自動車の卸売・小売 スズキセニアカー・電動車椅子の販売 自動車部品の販売 自動車,埼玉県さいたま市北区吉野町２丁目２２２番地１０,○,https://www.suzuki.co.jp/dealer/sj-saitama/,2026-06-25
