企業名,代表者名,確度,寄与ソース,公式URL
株式会社明乳松浦,松浦 伸明,0.725,公式HP(自社サイト),http://meinyuu-matsuura.co.jp/
株式会社津山商店,津山 由香,0.665,公式HP(自社サイト),http://www.tsuyamagroup.co.jp/
スバル東海株式会社,杉山 智啓,0.725,公式HP(自社サイト),https://www.nagoya-subaru.co.jp/
カンケンテクノ株式会社,今村 浩一,0.725,公式HP(自社サイト),https://www.kanken-techno.co.jp/
株式会社ルルアーク,長友 伸二,0.665,公式HP(自社サイト),https://www.luluarq.co.jp/
株式会社電算情報技研,妹尾 均,0.665,公式HP(自社サイト),https://densanjoho.co.jp/
錦電サービス株式会社,河野 朗,0.725,公式HP(自社サイト),http://www.kinden-service.co.jp/
株式会社山之内製作所,山内 英圓,0.725,公式HP(自社サイト),https://www.ysec.jp/
株式会社サン精密化工研究所,村上 守,0.725,公式HP(自社サイト),https://www.sanseimitsu.co.jp/
山中産業株式会社,鈴木 基伸,0.725,公式HP(自社サイト),https://yamanaka-sangyo.jp/
南北ビルセイビ株式会社,樫畑 寛治,0.665,公式HP(自社サイト),https://nanboku-bs.co.jp/
広島荷役株式会社,戸田 武志,0.665,公式HP(自社サイト),https://hi-niyaku.co.jp/
株式会社緒方製作所,伊藤 武利,0.725,公式HP(自社サイト),https://www.ogata-ss.jp/
株式会社国土,梨本 貴幸,0.725,公式HP(自社サイト),https://www.k-kokudo.co.jp/
株式会社諏訪三社電機,大村 剛史,0.725,公式HP(自社サイト),https://www.suwa.sansha.co.jp/
日建ヘルスメディカル株式会社,林 芳弘,0.725,公式HP(自社サイト),http://www.gifu-healthmedical.jp/
山口金属曲板工業株式会社,下村 悠太,0.725,公式HP(自社サイト),https://www.yamakin-g.com/
ハッピーハウス株式会社,上村 英輔,0.725,公式HP(自社サイト),https://www.happy-house.co.jp/
八洲制御システム株式会社,米山 文夫,0.665,公式HP(自社サイト),https://yashima-cs.co.jp/
東日本リフトサービス株式会社,武山 東,0.665,公式HP(自社サイト),https://ejls.jp/
長野興農株式会社,広田 至誠,0.725,公式HP(自社サイト),https://www.naganokono.co.jp/
エム・ティ・ケー株式会社,松原 健,0.725,公式HP(自社サイト),https://www.mtk.jp/
住友商事フィナンシャルマネジメント株式会社,西 巻豊,0.725,公式HP(自社サイト),https://ssfm.co.jp/
阪神高速トール神戸株式会社,近藤 和博,0.725,公式HP(自社サイト),https://www.hanshin-tollkobe.co.jp/
株式会社ニューオータニ九州,山本 圭介,0.725,公式HP(自社サイト),https://www.kys-newotani.co.jp/hakata/
株式会社中島屋ホテルズ,鈴木 健太郎,0.725,公式HP(自社サイト),https://www.sn-hotels.com/
国分東北株式会社,小川 智生,0.725,公式HP(自社サイト),https://www.kokubu.co.jp/touhoku/
株式会社加賀田組,秋山,0.735,公式HP(自社サイト),https://www.kagata.co.jp/
株式会社クリエイティブヨーコ,北原 武幸,0.725,公式HP(自社サイト),https://www.creativeyoko.co.jp/
アート梱包運輸株式会社,余語 隆寛,0.665,公式HP(自社サイト),https://www.art-konpoh.co.jp/company/about_us/
株式会社喜久家,後藤 斌夫,0.725,公式HP(自社サイト),https://www.p-kikuya.co.jp/
大阪エムケイ株式会社,関 空エムケ,0.665,公式HP(自社サイト),https://www.mk-group.co.jp/osaka/
中電不動産株式会社,岡本 祥一,0.725,公式HP(自社サイト),https://www.chudenfudosan.co.jp/
株式会社マツヤスーパー,中山 博雄,0.725,公式HP(自社サイト),http://www.matsuyasuper.co.jp/
株式会社ワールドツール,中島 勉,0.725,公式HP(自社サイト),https://www.astro-p.co.jp/
株式会社赤福,浜田 朋恵,0.725,公式HP(自社サイト),https://www.akafuku.co.jp/
株式会社アンデルセンサービス,沼田 二郎,0.705,公式HP(自社サイト),https://www.andersen-group.jp/recruit/rearing-support/
株式会社テクノプラスト,中村 明,0.725,公式HP(自社サイト),https://technoplast.co.jp/
京都エレクトロン株式会社,西田 弘之,0.725,公式HP(自社サイト),https://kyoto-electron.co.jp/
ＷＩＬＬＥＲ　ＴＲＡＩＮＳ株式会社,飯島 徹,0.725,公式HP(自社サイト),https://trains.willer.co.jp/recruit-info/
株式会社タキズミ,吉森 豊,0.665,公式HP(自社サイト),https://www.takizumi.com/
株式会社イング,大澤,0.665,公式HP(自社サイト),http://www.ing-edu.com/
株式会社エコワーク,原 元晴が,0.725,公式HP(自社サイト),https://ecowork.co.jp/
サンタクシー株式会社,馬場 正治,0.725,公式HP(自社サイト),https://suntaxi.com/
トナミ国際物流株式会社,吉田 博之,0.725,公式HP(自社サイト),https://www.tglc.co.jp/
西部スチール株式会社,天野 裕之,0.725,公式HP(自社サイト),https://www.seibustl.jp/
山二ガス株式会社,相田 昇三,0.665,公式HP(自社サイト),https://www.yamani-gas.jp/
