企業名,法人番号,採用担当者名,役職,確度,採用ページURL,根拠,取得日
空研工業株式会社,1290001007221,,,,https://www.kuken.com/recruit/,,2026-07-05
日本高圧コンクリート株式会社,1430001020829,,,,https://www.nihonkoatsu.co.jp/recruit/career_recruitment/,,2026-07-05
福岡酸素株式会社,1290001049544,,,,https://fksanso.co.jp/recruit/,,2026-07-05
エア・ウォーター産業・医療ガス株式会社,2430001022196,,,,https://img-awi.co.jp/recruit/,,2026-07-05
西菱電機株式会社,1140001078509,,,,https://www.seiryodenki.co.jp/hr/new-graduate-recruitment-guidelines/,,2026-07-05
古河産機システムズ株式会社,1010001087927,,,,https://www.furukawa-sanki.co.jp/recruit/,,2026-07-05
株式会社サンネット,1240001012779,,,,http://www.csunnet.co.jp/recruit/,,2026-07-05
仙台トヨペツト株式会社,1370001006652,,,,https://www.p-sendai.co.jp/recruit/graduates,,2026-07-05
グリーン産業株式会社,2110001001769,,,,https://www.green-s.co.jp/recruit/,,2026-07-05
株式会社市川工務店,1200001000374,,,,https://www.ic-group.co.jp/recruitment/,,2026-07-05
エネサーブ株式会社,2160001003901,,,,https://www.eneserve.co.jp/company/career.html,,2026-07-05
株式会社中島商会,2260001004880,,,,https://www.nakashima-shokai.co.jp/recruit/,,2026-07-05
株式会社エフコム,1380001004696,栗城,人事,0.8,https://www.f-com.co.jp/recruit/newgraduate/,人事総務部 栗城（クリキ）,2026-07-05
ニプロバスキュラー株式会社,1180001001887,,,,https://www.nipro-vas.com/recruit/newgrad_entry.html,,2026-07-05
川北電気工業株式会社,1180001035290,,,,https://www.kawakita.co.jp/recruit/,,2026-07-05
インバースネット株式会社,1020001036619,,,,https://www.inversenet.co.jp/recruit/,,2026-07-05
株式会社じょうてつ,1430001007925,,,,https://www.jotetsu.co.jp/recruit/entry/career.html,,2026-07-05
ホシザキ北海道株式会社,1430001015639,,,,https://www.hoshizaki-hokkaido.co.jp/topics/recruit/688/,,2026-07-05
東邦レオ株式会社,1120001085408,,,,https://www.toho-leo.co.jp/recruit/,,2026-07-05
日本スピンドル製造株式会社,1140001050327,,,,https://www.spindle.co.jp/recruit/main.html,,2026-07-05
株式会社スズキ自販埼玉,2030001004499,,,,https://www.suzuki.co.jp/dealer/sj-saitama/recruit/,,2026-07-05
株式会社アスコン,1240001029690,,,,https://www.ascon.co.jp/recruit/,,2026-07-05
株式会社復建技術コンサルタント,1370001010010,,,,https://www.fgc.jp/recruit_top/,,2026-07-05
株式会社ウイン,1500001000617,,,,https://www.pro-win.co.jp/recruit/,,2026-07-05
原子力エンジニアリング株式会社,1050001004639,,,,https://www.neco-net.co.jp/recruit/graduate/index.html,,2026-07-05
常洋水産株式会社,1050001001165,,,,https://www.joyosuisan.com/%E6%8E%A1%E7%94%A8%E6%83%85%E5%A0%B1,,2026-07-05
株式会社スミハツ,1010001020516,,,,https://www.sumihatsu.com/recruit.html,,2026-07-05
クリタ分析センター株式会社,1050001016444,,,,https://www.kuritabunseki.co.jp/page_id_134/,,2026-07-05
日邦産業株式会社,1120901007832,,,,https://www.nip.co.jp/recruit/fresh,,2026-07-05
株式会社アルファ,1020001005862,,,,https://www.kk-alpha.com/cp/recruit/career.html,,2026-07-05
ミズホ株式会社,1010001007612,,,,https://www.mizuho.co.jp/recruit,,2026-07-05
株式会社ＪＰＦ,1010001033237,,,,https://www.jpf.co.jp/recruit/,,2026-07-05
ホシザキ京阪株式会社,1120001025289,,,,https://hoshizaki-keihan.co.jp/recruite,,2026-07-05
