企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
株式会社アイ・アイ・エム,1010001000055,,,,関根淳,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001000055,人事部 ご採用ご担当者様,,東京都中央区八丁堀３丁目６番１号,117,,1988,2026-06-14T13:55:59.716Z
五洋建設株式会社,1010001000006,,,,清水琢三,info@penta-ocean.co.jp,0.4,,,http://www.penta-ocean.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001000006,人事部 ご採用ご担当者様,総合建設業,東京都文京区後楽２丁目２番８号,3539,,1950,2026-06-14T13:55:59.736Z
スズデン株式会社,1010001003966,,,,高谷健文,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001003966,人事部 ご採用ご担当者様,,東京都千代田区外神田２丁目２番３号,387,,1952,2026-06-14T13:55:59.777Z
株式会社片平新日本技研,1010001001854,,,,山崎幹夫,info@katahira.co.jp,0.4,,,http://www.katahira.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001001854,人事部 ご採用ご担当者様,1.土木、建設に関する測量、調査、企画、計画、管理、　コンサルティングに附帯又は関連する一切の事業 2.労働者派遣事業,東京都文京区小石川２丁目２２番２号,268,,1970,2026-06-14T13:55:59.791Z
日産化学株式会社,1010001008734,,,,八木晋介,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008734,人事部 ご採用ご担当者様,機能性材料、農業化学品、医薬品、化学品の開発、製造、販売,東京都中央区日本橋２丁目５番１号,2044,,1921,2026-06-14T13:55:59.805Z
ＪＦＥスチール株式会社,1010001008668,,,,廣瀬政之,info@jfe-steel.co.jp,0.4,,,https://www.jfe-steel.co.jp/saiyou/culture/welfare.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008668,人事部 ご採用ご担当者様,鉄鋼製品・半製品（熱延薄鋼板、冷延薄鋼板、表面処理鋼板、厚鋼板、形鋼、Ｈ形鋼、鋼矢板、レール、継目無鋼管、鍛接鋼管、電縫,東京都千代田区内幸町２丁目２番３号,15578,,1950,2026-06-14T13:55:59.815Z
住友商事株式会社,1010001008692,,,,上野真吾,info@sumitomocorp.co.jp,0.4,,,http://www.sumitomocorp.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008692,人事部 ご採用ご担当者様,全世界に展開するグローバルネットワークとさまざまな産業分野における企業・消費者との信頼関係をベースに、多様な商品・サービ,東京都千代田区大手町２丁目３番２号,4829,,1919,2026-06-14T13:55:59.820Z
ウシオ電機株式会社,1010001008651,,,,朝日崇文,info@ushio.co.jp,0.4,,,http://www.ushio.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008651,人事部 ご採用ご担当者様,光応用製品事業ならびに産業機械およびその他事業,東京都港区三田３丁目５番１９号住友不動産東京三田ガーデンタワー３１階,1677,,1949,2026-06-14T13:55:59.820Z
ＤＯＷＡホールディングス株式会社,1010001008750,,,,関口明,info@dowa.co.jp,0.4,,,http://www.dowa.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008750,人事部 ご採用ご担当者様,環境・リサイクル事業、製錬事業、電子材料事業、金属加工事業および熱処理事業,東京都千代田区外神田４丁目１４番１号,1010,,,2026-06-14T13:55:59.829Z
ピーエス・コンストラクション株式会社,1010001008742,,,,森拓也,info@psc.co.jp,0.4,,,http://www.psc.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008742,人事部 ご採用ご担当者様,1．プレストレスト・コンクリート工事の請負ならびに企画、設計、施工監理 2．土木一式工事、建築一式工事の請負ならびに企画,東京都港区東新橋１丁目９番１号,1325,,1952,2026-06-14T13:55:59.831Z
三井物産株式会社,1010001008767,,,,堀健一,info@mitsui.com,0.4,,,http://www.mitsui.com/jp/ja/index.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008767,人事部 ご採用ご担当者様,鉄鋼製品、金属資源、エネルギー、プロジェクト、モビリティ、化学品、食料、流通事業、ウェルネス事業、ICT事業、コーポレー,東京都千代田区大手町１丁目２番１号,5587,,1947,2026-06-14T13:55:59.835Z
日本曹達株式会社,1010001008833,,,,阿賀英司,,0,,,http://www.nippon-soda.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008833,人事部 ご採用ご担当者様,化学製品の製造・販売,東京都千代田区丸の内２丁目７番２号,1407,,1920,2026-06-14T13:55:59.854Z
アース環境サービス株式会社,1010001009823,,,,田渕徹,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001009823,人事部 ご採用ご担当者様,,東京都中央区晴海４丁目７番４号,1961,,1978,2026-06-14T13:55:59.855Z
東京電力ホールディングス株式会社,1010001008825,,,,小早川智明,info@tepco.co.jp,0.4,,,https://www.tepco.co.jp/about/esg/hractivate/index-j.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001008825,人事部 ご採用ご担当者様,電気事業,東京都千代田区内幸町１丁目１番３号,7999,,1951,2026-06-14T13:55:59.860Z
株式会社アスク,1010001009831,,,,武藤和彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001009831,人事部 ご採用ご担当者様,,東京都千代田区九段南４丁目８番１９号ＣＩＲＣＬＥＳ＋市ヶ谷駅前,140,,1997,2026-06-14T13:55:59.867Z
石福金属興業株式会社,1010001010624,,,,古宮基成,info@ishifuku-kinzoku.co.jp,0.4,,,https://www.ishifuku-kinzoku.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001010624,人事部 ご採用ご担当者様,貴金属精製加工販売業,東京都千代田区内神田３丁目２０番７号,351,,1934,2026-06-14T13:55:59.886Z
イチカワ株式会社,1010001000708,,,,矢崎孝信,info@ik-felt.co.jp,0.4,,,http://www.ik-felt.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001000708,人事部 ご採用ご担当者様,抄紙用フエルト、抄紙用ベルトおよびスレート・その他工業用フエルトの製造、販売,東京都文京区本郷２丁目１４番１５号,523,,1949,2026-06-14T13:55:59.897Z
商船三井ロジスティクス株式会社,1010001012546,,,,伊藤崇,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001012546,人事部 ご採用ご担当者様,,東京都千代田区内幸町１丁目２番２号,321,,1960,2026-06-14T13:55:59.898Z
ＮＴＴ都市開発株式会社,1010001012372,,,,中川裕,info@nttud.co.jp,0.4,,,https://www.nttud.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001012372,人事部 ご採用ご担当者様,(1) 不動産の取得、処分及び管理 (2) 不動産の貸借、仲介及び鑑定 (3) 建築物の設計、施工、工事監理及びその受託,東京都千代田区外神田４丁目１４番１号,764,,,2026-06-14T13:55:59.906Z
株式会社大塚商会,1010001012983,,,,大塚裕司,info@otsuka-shokai.co.jp,0.4,,,https://www.otsuka-shokai.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001012983,人事部 ご採用ご担当者様,?システムインテグレーション事業／コンピューター、複合機、通信機器、ソフトウェアの販売および受託ソフトの開発など ?サー,東京都千代田区飯田橋２丁目１８番４号,8673,,1961,2026-06-14T13:55:59.918Z
株式会社オーヤラツクス,1010001013305,,,,松村かおり,info@oyalox.co.jp,0.4,,,http://www.oyalox.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001013305,人事部 ご採用ご担当者様,医薬品製造販売業,東京都千代田区麹町１丁目６番地２,177,,1962,2026-06-14T13:55:59.941Z
日本高周波鋼業株式会社,1010001016852,,,,小椋大輔,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001016852,人事部 ご採用ご担当者様,,東京都千代田区岩本町１丁目１０番５号,507,,,2026-06-14T13:55:59.960Z
株式会社グロービス,1010001015334,,,,堀義人,info@globis.co.jp,0.4,,,https://globis.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001015334,人事部 ご採用ご担当者様,ビジネススクール運営、人材育成・組織開発、経営ノウハウの出版・発信,東京都千代田区二番町５番地１,778,,1989,2026-06-14T13:55:59.966Z
