企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
株式会社筑波ゴルフコース,1050001028241,,,,山 下 恒 司,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1050001028241,人事部 ご採用ご担当者様,,茨城県つくばみらい市高岡８３０番地の２,64,,,2026-06-15T17:07:30.682Z
宇田川株式会社,1050001027383,,,,宇田川 俊明,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1050001027383,人事部 ご採用ご担当者様,石油製品販売業,茨城県取手市新町２丁目７番１５号,94,,1950,2026-06-15T17:07:30.684Z
ナカノ管材株式会社,1050001027929,,,,中野 隆行,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1050001027929,人事部 ご採用ご担当者様,,茨城県取手市小浮気字本田１５１番地,157,,1982,2026-06-15T17:07:30.687Z
日本ビルシステム株式会社,1050001033299,,,,鎌田 勝正,info@jb-holdings.co.jp,0.4,,,https://www.jb-holdings.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1050001033299,人事部 ご採用ご担当者様,各種給食サービス事業（学校給食調理・その他給食調理・食堂施設の運営委託・配食サービス事業・飲食店の経営等） 総合ビル管理,茨城県水戸市千波町１９６１番１,256,,1971,2026-06-15T17:07:30.733Z
茨城いすゞ自動車株式会社,2050001000166,,,,豊崎 繁,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2050001000166,人事部 ご採用ご担当者様,,茨城県水戸市五軒町１丁目２番５号,395,,1947,2026-06-15T17:07:30.734Z
株式会社坂場商店,2050001001057,,,,坂場 光治,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2050001001057,人事部 ご採用ご担当者様,日用品雑貨卸売業,茨城県水戸市本町２丁目７番８号,58,,1953,2026-06-15T17:07:30.738Z
株式会社ＮＥＳＩ,2010501019247,,,,中村 邦浩,info@nesi.co.jp,0.4,,,http://www.nesi.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010501019247,人事部 ご採用ご担当者様,情報サービス業,茨城県ひたちなか市大字東石川３６００番地３,364,,1984,2026-06-15T17:07:30.739Z
日新警備保障株式会社,2050001004448,,,,清水 寿美,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2050001004448,人事部 ご採用ご担当者様,清掃・警備業,茨城県水戸市城南１丁目６番９号,160,,1995,2026-06-15T17:07:30.757Z
株式会社アルコ・イーエックス,2050001006551,,,,木田 文二,info@alco-ex.jp,0.4,,,https://www.alco-ex.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2050001006551,人事部 ご採用ご担当者様,主に情報システム開発等のソフトウェア業,茨城県ひたちなか市津田東４丁目１０番地５,76,,1990,2026-06-15T17:07:30.764Z
水戸ヤクルト販売株式会社,2050001002583,,,,内藤 学,info@mito-yakult.co.jp,0.4,,,https://mito-yakult.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2050001002583,人事部 ご採用ご担当者様,乳酸菌飲料および乳製品乳酸菌飲料・発酵乳・健康機能性食品・ジュース清涼飲料・麺類・化粧品の販売,茨城県水戸市谷津町１番地３５,233,,1965,2026-06-15T17:07:30.767Z
