企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
テスコ株式会社,1370001009259,,,,秋田裕二,info@tesco-inc.jp,0.4,,03-5244-5311,https://tesco-inc.jp/,C,gBizINFO,https://tesco-inc.jp/,人事部 ご採用ご担当者様,医療機器の販売、賃貸、修理及び保守,宮城県仙台市泉区大沢３丁目４番地の３,188,,1973,2026-06-14T18:08:03.652Z
積水化学工業株式会社,1120001059650,,,,清水郁輔,,0,,03-6748-6460,https://www.sekisui.co.jp/,C,gBizINFO,https://www.sekisui.co.jp/,人事部 ご採用ご担当者様,樹脂加工製品の製造、販売,大阪府大阪市北区西天満２丁目４番４号,4062,,1947,2026-06-14T18:08:17.493Z
レンゴー株式会社,1120001036880,,,,兼ＣＯＯ川本洋祐,info@rengo.co.jp,0.4,,06-6223-2371,https://www.rengo.co.jp/sustainability/social/human_resources/work-life_balance.html,C,gBizINFO,https://www.rengo.co.jp/sustainability/social/human_resources/work-life_balance.html,人事部 ご採用ご担当者様,板紙、段ボール・段ボール箱、軟包装製品等の製造・販売,大阪府大阪市福島区大開４丁目１番１８６号,4711,,,2026-06-14T18:08:21.575Z
株式会社ユニテック,1430001021645,,,,藤井紀綱,info@unitec-lca.co.jp,0.4,,072-832-8177,http://www.unitec-lca.co.jp/,C,gBizINFO,http://www.unitec-lca.co.jp/,人事部 ご採用ご担当者様,"情報計測事業
コンサルタント事業",北海道札幌市中央区宮の森二条１丁目７番２号宮の森ＫＬビル,81,,1977,2026-06-14T18:08:25.070Z
TIS株式会社,,,,,,info@tis.co.jp,0.4,,080-0600-9810,https://www.tis.co.jp/,D,非公開,https://www.tis.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:26.092Z
KDDI株式会社,,,,,,info@kddi.com,0.4,,03-3347-0077,https://www.kddi.com/,D,非公開,https://www.kddi.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:28.888Z
NTT東日本株式会社,,,,,,,0,,0120-800-000,https://group.ntt/jp/,D,非公開,https://group.ntt/jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:30.458Z
NTTドコモソリューションズ株式会社,,,,,,info@ntt-east.co.jp,0.4,,0120-116-000,https://www.ntt-east.co.jp/,D,非公開,https://www.ntt-east.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:33.696Z
日鉄ソリューションズ株式会社,,,,,,info@nipponsteel.com,0.4,,03-6867-2242,https://www.nipponsteel.com/,D,非公開,https://www.nipponsteel.com/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:39.696Z
NTT株式会社,,,,,,info@ntt-east.co.jp,0.4,,0120-116-000,https://www.ntt-east.co.jp/,D,非公開,https://www.ntt-east.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:41.336Z
日本コンセントリクス株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:43.977Z
TOPPANコミュニケーションプロダクツ株式会社,,,,,,,0,,048-482-4602,https://www.toppan-c.co.jp/,D,非公開,https://www.toppan-c.co.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:47.660Z
NECソリューションイノベータ株式会社,,,,,,info@nec-lavie.jp,0.4,,0120-944-035,https://www.nec-lavie.jp/,D,非公開,https://www.nec-lavie.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:50.120Z
日本情報産業株式会社,,,,,,info@cao.go.jp,0.4,,03-5253-2111,https://www.cao.go.jp/,D,非公開,https://www.cao.go.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:51.701Z
NECネッツエスアイ株式会社,,,,,,info@nec-lavie.jp,0.4,,0120-944-035,https://www.nec-lavie.jp/,D,非公開,https://www.nec-lavie.jp/,人事部 ご採用ご担当者様,,,,,,2026-06-14T18:08:52.034Z
