企業名,法人番号,品質スコア,優先度,属性ランク,intent★,新卒フラグ,系統,取得元媒体,起点系統,起点ソース,ソース数,トリガー,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,業種,都道府県,従業員数,設立年,補助金,ICP適合,採用インテント,データ品質,タイミング,インテント根拠,スコア根拠,取得日,掲載媒体,掲載媒体数,採用予定人数,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠,プレスリリース,採用ページ更新,インテント,辞退シグナル
ベータ介護サービス株式会社,2020002000002,64,ナーチャリング,C,5,○,"A,D",マイナビ+失注先,A,マイナビ,2,辞退シグナル,,,人事部,,,,,06-1234-5678,,,,,,,48,70,50,100,実シグナル,INT:トリガー:辞退シグナル / INT:新卒フラグ確定 / INT:媒体数1 / DAT:電話妥当 / TIM:辞退期=最刺さり,2026-06-05,マイナビ,1,5,,,,,,,,,,○
株式会社イータ,,57,ナーチャリング,C,4,○,"A,D",マイナビ+失注先,A,マイナビ,2,,,,採用担当,,,,,03-2222-3333,,,,,,,48,64,50,70,実シグナル,INT:intent★4 / INT:新卒フラグ確定 / INT:媒体数1 / DAT:電話妥当,2026-06-09,マイナビ,1,4,,,,,,,,,,
株式会社アルファ建設,1010001000001,54,ナーチャリング,C,5,○,"A,C",マイナビ+PR TIMES,A,マイナビ,2,採用ページ更新,,,,,,,,,,,,,,,48,76,10,70,実シグナル,INT:トリガー:採用ページ更新 / INT:新卒フラグ確定 / INT:媒体数2,2026-06-01,マイナビ/リクナビ,2,10,,,,,,,新卒採用人数拡大,○,,
デルタシステム株式会社,4040004000004,54,ナーチャリング,C,5,○,"A,C",マイナビ+PR TIMES,A,マイナビ,2,採用ページ更新,,,,,,,,,,,,,,,48,76,10,70,実シグナル,INT:トリガー:採用ページ更新 / INT:新卒フラグ確定 / INT:媒体数2,2026-06-10,リクナビ/キャリタス,2,8,,,,,,,新拠点開設で増員,○,採用課題を調査,
住商エアロシステム株式会社,1010001020185,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,上野智規,,,,,https://www.sc-aero.co.jp/,航空機器、航空機用及び船舶用エンジン、宇宙衛星機器、車両、通信電子機器、レーダー、特機等の貿易、国内販売及び保守整備業務,東京都千代田区一ツ橋１丁目２番２号,167,1982,,76,46,25,70,実シグナル,ICP:規模167=スイート / ICP:設立44年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.sc-aero.co.jp/recruit/,○,総合職,,top-anchor,,,,
日信防災株式会社,1010001025449,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,矢口孝仁,,,,,http://www.nissin-b.co.jp,防災システム及び駐車場システムの設計・施工・販売・保守,東京都千代田区岩本町３丁目２番４号,156,1989,,76,46,25,70,実シグナル,ICP:規模156=スイート / ICP:設立37年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.nissin-b.co.jp/recruit,○,営業/施工管理/介護,,top-anchor,,,,
株式会社野澤組,1010001026166,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,野澤毅一郎,,,,,https://www.nosawa.co.jp/,貿易商社,東京都千代田区有楽町１丁目５番２号,168,1944,,76,46,25,70,実シグナル,ICP:規模168=スイート / ICP:設立82年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.nosawa.co.jp/recruit/,○,販売,doda.jp/nosawa.jp,top-anchor,,,,
株式会社テレコムスクエア,1010001026918,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,吉竹雄次,,,,,https://www.telecomsquare.net/aboutus/ge_actionplan/,情報通信サービス,東京都千代田区三番町８番地１,111,1974,,76,46,25,70,実シグナル,ICP:規模111=スイート / ICP:設立52年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.telecomsquare.net/recruit/,○,営業/企画/デザイナー/介護/マーケティング,,top-anchor,,,,
株式会社教映社,1120001000341,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,佐藤一男,,,,,https://kyoeisha.com/,映像機器のレンタルと販売,大阪府大阪市旭区大宮４丁目１５番６号,156,1967,,76,46,25,70,実シグナル,ICP:規模156=スイート / ICP:設立59年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.kyoeisha.com/recruit,○,営業/企画/販売,,top-anchor,,,,
株式会社つむら工芸,1120001045502,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,浜田晋,,,,,https://tsumura-kogei.com/recruitwork/,メディア、舞台、その他エンターテイメント向けの造形物製作事業,大阪府大阪市西区京町堀２丁目１２番２４号,178,1957,,76,46,25,70,実シグナル,ICP:規模178=スイート / ICP:設立69年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://tsumura-kogei.com/recruitwork/,○,営業,job.mynavi.jp,top-anchor,,,,
朝日金属株式会社,1180001011481,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,桑原由行,,,,,http://www.asahi-metal.com,製鋼原料加工、販売、他,愛知県名古屋市北区六が池町５５５番地,240,1962,,76,46,25,70,実シグナル,ICP:規模240=スイート / ICP:設立64年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.asahi-metal.com/recruit/,○,営業/事務,asahi-metal.com,common-path,,,,
株式会社チップトン,1180001014914,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,小林知之,,,,,https://www.tipton.co.jp,"産業機械・付帯装置、研磨材・セラミックス製品の開発、製造、販売。

＜産業機械・付帯装置＞
・表面処理装置（バレル研磨機",愛知県名古屋市南区豊田３丁目１９番２１号,210,1939,,76,46,25,70,実シグナル,ICP:規模210=スイート / ICP:設立87年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.tipton.co.jp/recruit/,○,営業,,top-anchor,,,,
教育産業株式会社,1180001035456,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,今枝伸保,,,,,http://www.ksg.co.jp/,映像・音響・情報通信機器の販売、同設備の設計設置・修理・保守並びにレンタル及び映像制作を主な業務としています。,愛知県名古屋市中区丸の内３丁目１８番２８号,210,1952,,76,46,25,70,実シグナル,ICP:規模210=スイート / ICP:設立74年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.ksg.co.jp/recruit/,○,,,top-anchor,,,,
株式会社アート,1010701014775,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,関本祥文,,,,,https://www.art-japan.co.jp/company/active_promotion,セキュリティ製品の製造・販売,神奈川県川崎市中原区市ノ坪３２２番地７,100,2003,,76,46,25,70,実シグナル,ICP:規模100=スイート / ICP:設立23年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.art-japan.co.jp/recruit/career,○,営業/技術職/販売,,top-anchor,,,,
株式会社浜銀総合研究所,1020001015795,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,鈴木圭一,,,,,https://www.yokohama-ri.co.jp/,調査受託・コンサルティング業務,神奈川県横浜市西区みなとみらい３丁目１番１号,140,1988,,76,46,25,70,実シグナル,ICP:規模140=スイート / ICP:設立38年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.yokohama-ri.co.jp/recruit/new_graduate/index.html,○,営業/企画/介護/看護/コンサル,,top-anchor,,,,
株式会社クロステック,1020001037212,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,渡邉安好,,,,,http://www.xtec.co.jp/,各種情報システムの提案・設計・開発、通信ソフトウェア・制御ソフトウェア・基本ソフトウェアの設計・開発、ハ?ッケーシ?ソフ,神奈川県横浜市港北区篠原北２丁目４番１号,195,1981,,76,46,25,70,実シグナル,ICP:規模195=スイート / ICP:設立45年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.xtec.co.jp/recruit/requirements/student,○,,,top-anchor,,,,
株式会社リサーチアンドソリューション,1290001017278,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,清見光生,,,,,http://www.rands-co.com,"ソフトウェア開発・販売
間接業務支援",福岡県福岡市博多区上呉服町１２番３３号,237,1979,,76,46,25,70,実シグナル,ICP:規模237=スイート / ICP:設立47年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,http://www.rands-co.com/recruit/,○,営業,,top-anchor,,,,
池田煖房工業株式会社,1430001001267,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,池田薫,,,,,http://www.ikedan.co.jp/,設備工事業,北海道札幌市北区北十二条西３丁目２番２０号,188,1955,,76,46,25,70,実シグナル,ICP:規模188=スイート / ICP:設立71年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,http://www.ikedan.co.jp/recruit/index.html,○,,,top-anchor,,,,
コベルコビジネスパートナーズ株式会社,1140001003466,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,小西光文,,,,,https://www.kobelco-kbp.jp/,当社は、神戸製鋼グループに対する神戸製鋼本社部門の機能移管会社として、シェアードサービス事業（オフィス、PR、給与計算）,兵庫県神戸市中央区脇浜海岸通２丁目２番４号,239,1983,,76,46,25,70,実シグナル,ICP:規模239=スイート / ICP:設立43年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.kobelco-kbp.jp/recruit/,○,事務/介護/販売,,top-anchor,,,,
株式会社イナハラ,1140001006205,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,稲原達郎,,,,,https://www.inahara.co.jp/,"ＩＴ・オフィス機器の販売と保守メンテナンス
オフィスデザインの提案",兵庫県神戸市中央区磯上通４丁目１番２６号,106,1949,,76,46,25,70,実シグナル,ICP:規模106=スイート / ICP:設立77年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.inahara.co.jp/recruit/,○,営業/技術職,,top-anchor,,,,
共栄株式会社,1140001007137,54,ナーチャリング,A,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,久寳利幸,,,,,http://www.kyoyei.com/,鉄、非鉄金属、軽金属、並びにその屑の買入販売、及び加工販売,兵庫県神戸市中央区栄町通２丁目３番９号共栄ビル,146,1941,,76,46,25,70,実シグナル,ICP:規模146=スイート / ICP:設立85年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,http://www.kyoyei.com/recruit/recruit.html,○,,job.mynavi.jp,top-anchor,,,,
