企業名,法人番号,マイナビ掲載,採用担当者名,担当者確度,担当者根拠,部署,メール,電話番号,採用予定人数,卒年,採用ページURL,取得日
株式会社アイ・アイ・エム,1010001000055,,,,マイナビ検索ヒット無し,,,,,,,2026-06-20
五洋建設株式会社,1010001000006,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3816-7111,,2026,https://job.mynavi.jp/27/pc/search/corp57808/outline.html,2026-06-20
スズデン株式会社,1010001003966,○,,,マイナビ掲載確認(担当者名は非公開),,recruit@suzuden.co.jp,03-6910-6801,16,2026,https://job.mynavi.jp/27/pc/search/corp63055/outline.html,2026-06-20
株式会社片平新日本技研,1010001001854,○,,,マイナビ掲載確認(担当者名は非公開),片平新日本技研人材開発部,,03-5802-1616,6,2026,https://job.mynavi.jp/27/pc/search/corp101379/outline.html,2026-06-20
日産化学株式会社,1010001008734,○,,,マイナビ掲載確認,,,,,2026,https://job.mynavi.jp/27/pc/search/corp1016/outline.html,2026-06-20
ＪＦＥスチール株式会社,1010001008668,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3597-3111,201,2026,https://job.mynavi.jp/27/pc/search/corp27/outline.html,2026-06-20
住友商事株式会社,1010001008692,○,,,マイナビ掲載確認(担当者名は非公開),,,03-6285-5000,51,2026,https://job.mynavi.jp/27/pc/search/corp190/outline.html,2026-06-20
ウシオ電機株式会社,1010001008651,○,,,マイナビ掲載確認(担当者名は非公開),採用グループ,ushio@saiyo-hr.com,050-3090-2856,11,2026,https://job.mynavi.jp/27/pc/search/corp207206/outline.html,2026-06-20
ＤＯＷＡホールディングス株式会社,1010001008750,○,,,マイナビ掲載確認(担当者名は非公開),人事部,E-mail.saiyou@dowa.co.jp,0120-268-862,51,2026,https://job.mynavi.jp/27/pc/search/corp1403/outline.html,2026-06-20
ピーエス・コンストラクション株式会社,1010001008742,○,,,マイナビ掲載確認(担当者名は非公開),,,03-6385-8003,,2026,https://job.mynavi.jp/27/pc/search/corp84172/outline.html,2026-06-20
三井物産株式会社,1010001008767,○,,,マイナビ掲載確認(担当者名は非公開),,,0120-996-954,,2026,https://job.mynavi.jp/27/pc/search/corp235908/outline.html,2026-06-20
日本曹達株式会社,1010001008833,○,,,マイナビ掲載確認(担当者名は非公開),,,03-4212-9630,,2026,https://job.mynavi.jp/27/pc/search/corp714/outline.html,2026-06-20
アース環境サービス株式会社,1010001009823,○,,,マイナビ掲載確認(担当者名は非公開),,,050-3205-1685,51,2026,https://job.mynavi.jp/27/pc/search/corp100207/outline.html,2026-06-20
東京電力ホールディングス株式会社,1010001008825,○,,,マイナビ掲載確認(担当者名は非公開),,,03-6373-1111,,2026,https://job.mynavi.jp/27/pc/search/corp80951/outline.html,2026-06-20
株式会社アスク,1010001009831,○,,,マイナビ掲載確認(担当者名は非公開),,,055-272-1151,,2026,https://job.mynavi.jp/27/pc/search/corp223154/outline.html,2026-06-20
石福金属興業株式会社,1010001010624,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3252-3131,,2026,https://job.mynavi.jp/27/pc/search/corp204294/outline.html,2026-06-20
イチカワ株式会社,1010001000708,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3816-1126,,2026,https://job.mynavi.jp/27/pc/search/corp2703/outline.html,2026-06-20
商船三井ロジスティクス株式会社,1010001012546,○,,,マイナビ掲載確認(担当者名は非公開),人事総務部,,03-6731-7500,11,2026,https://job.mynavi.jp/27/pc/search/corp69113/outline.html,2026-06-20
ＮＴＴ都市開発株式会社,1010001012372,○,,,マイナビ掲載確認(担当者名は非公開),,,03-6811-6300,21,2026,https://job.mynavi.jp/27/pc/search/corp75507/outline.html,2026-06-20
株式会社大塚商会,1010001012983,○,,,マイナビ掲載確認(担当者名は非公開),,,03-6361-2120,,2026,https://job.mynavi.jp/27/pc/search/corp547/outline.html,2026-06-20
株式会社オーヤラツクス,1010001013305,,,,マイナビ検索ヒット無し,,,,,,,2026-06-20
日本高周波鋼業株式会社,1010001016852,○,,,マイナビ掲載確認(担当者名は非公開),,,03-5687-6023,,2026,https://job.mynavi.jp/27/pc/search/corp54672/outline.html,2026-06-20
株式会社グロービス,1010001015334,,,,マイナビ検索ヒット無し,,,,,,,2026-06-20
株式会社ニッスイ,1010001016860,○,,,マイナビ掲載確認(担当者名は非公開),,,03-6206-7000,,2026,https://job.mynavi.jp/27/pc/search/corp392/outline.html,2026-06-20
株式会社ミクニ,1010001008791,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3833-0392,6,2026,https://job.mynavi.jp/27/pc/search/corp66896/outline.html,2026-06-20
ジャパンプロテクション株式会社,1010001019236,,,,マイナビ検索ヒット無し,,,,,,,2026-06-20
株式会社ザイエンス,1010001017941,○,,,マイナビ掲載確認(担当者名は非公開),,saiyou@xyence.co.jp,03-3284-0501,,2026,https://job.mynavi.jp/27/pc/search/corp244812/outline.html,2026-06-20
株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1010001019335,,,,マイナビ検索ヒット無し,,,,,,,2026-06-20
住商エアロシステム株式会社,1010001020185,,,,マイナビ検索ヒット無し,,,,,,,2026-06-20
ミズホ株式会社,1010001007612,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3815-3191,,2026,https://job.mynavi.jp/27/pc/search/corp227148/outline.html,2026-06-20
ソリッドコミュニケーション株式会社,1010001021349,○,,,マイナビ掲載確認(担当者名は非公開),,recruit@solidcom.co.jp,03-5212-5235,21,2026,https://job.mynavi.jp/27/pc/search/corp205218/outline.html,2026-06-20
株式会社第一管理代行,1010001021381,,,,マイナビ検索ヒット無し,,,,,,,2026-06-20
株式会社中央経済社ホールディングス,1010001022710,○,,,マイナビ掲載確認(担当者名は非公開),,recruit@chuokeizai.co,03-3293-3371,,2026,https://job.mynavi.jp/27/pc/search/corp287832/outline.html,2026-06-20
株式会社ティ・オー・エス,1010001023378,○,相良,0.4,マイナビ掲載確認(担当者名は非公開) / メール推定(sagara→相良),総務部,Tsagara@tos-kk.co.jp,03-5295-0431,6,2026,https://job.mynavi.jp/27/pc/search/corp258590/outline.html,2026-06-20
東洋計測器株式会社,1010001024129,,,,マイナビ検索ヒット無し,,,,,,,2026-06-20
東光電気工事株式会社,1010001024087,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3292-2111,46,2026,https://job.mynavi.jp/27/pc/search/corp1493/outline.html,2026-06-20
