企業名,法人番号,マイナビ掲載,採用担当者名,担当者確度,担当者根拠,部署,メール,電話番号,採用予定人数,卒年,採用ページURL,取得日
空研工業株式会社,1290001007221,○,,,マイナビ掲載確認(担当者名は非公開),,,092-923-1161,,2026,https://job.mynavi.jp/27/pc/search/corp249727/outline.html,2026-06-30
日本高圧コンクリート株式会社,1430001020829,○,,,マイナビ掲載確認(担当者名は非公開),総務部,y.fukuhara@nihonkoatsu.co.jp,011-241-7105,6,2026,https://job.mynavi.jp/27/pc/search/corp52108/outline.html,2026-06-30
福岡酸素株式会社,1290001049544,○,,,マイナビ掲載確認(担当者名は非公開),,,0942-33-0411,6,2026,https://job.mynavi.jp/27/pc/search/corp83346/outline.html,2026-06-30
エア・ウォーター産業・医療ガス株式会社,2430001022196,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
西菱電機株式会社,1140001078509,○,,,マイナビ掲載確認(担当者名は非公開),,,06-6345-4160,,2026,https://job.mynavi.jp/27/pc/search/corp269319/outline.html,2026-06-30
古河産機システムズ株式会社,1010001087927,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社サンネット,1240001012779,○,,,マイナビ掲載確認(担当者名は非公開),,,03-6844-3600,,2026,https://job.mynavi.jp/27/pc/search/corp53666/outline.html,2026-06-30
仙台トヨペツト株式会社,1370001006652,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
グリーン産業株式会社,2110001001769,○,,,マイナビ掲載確認(担当者名は非公開),,,025-242-2711,,2026,https://job.mynavi.jp/27/pc/search/corp91968/outline.html,2026-06-30
株式会社市川工務店,1200001000374,○,,,マイナビ掲載確認(担当者名は非公開),,,058-251-2242,,2026,https://job.mynavi.jp/27/pc/search/corp73236/outline.html,2026-06-30
エネサーブ株式会社,2160001003901,○,,,マイナビ掲載確認(担当者名は非公開),,,077-543-6330,,2026,https://job.mynavi.jp/27/pc/search/corp214873/outline.html,2026-06-30
株式会社中島商会,2260001004880,○,山本,0.82,採用担当者メッセージから氏名抽出(outline.html),,,086-232-2711,6,2026,https://job.mynavi.jp/27/pc/search/corp111785/outline.html,2026-06-30
ユナイテッドトヨタ熊本株式会社,3330001003271,○,緒方章浩,0.7,採用担当者メッセージから氏名抽出(employment.html),人事室,,096-362-2111,11,2026,https://job.mynavi.jp/27/pc/search/corp250052/outline.html,2026-06-30
株式会社エフコム,1380001004696,○,,,マイナビ掲載確認(担当者名は非公開),,jinji@f-com.co.jp,024-922-2555,,2026,https://job.mynavi.jp/27/pc/search/corp54687/outline.html,2026-06-30
ニプロバスキュラー株式会社,1180001001887,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
川北電気工業株式会社,1180001035290,○,,,マイナビ掲載確認(担当者名は非公開),,,052-251-7111,,2026,https://job.mynavi.jp/27/pc/search/corp54605/outline.html,2026-06-30
インバースネット株式会社,1020001036619,○,,,マイナビ掲載確認(担当者名は非公開),,,045-451-2411,,2026,https://job.mynavi.jp/27/pc/search/corp217321/outline.html,2026-06-30
株式会社じょうてつ,1430001007925,○,,,マイナビ掲載確認(担当者名は非公開),うてつ経営戦略室総務グループ,recruit@jotetsu.co.jp,011-811-6141,,2026,https://job.mynavi.jp/27/pc/search/corp96733/outline.html,2026-06-30
ホシザキ北海道株式会社,1430001015639,○,,,マイナビ掲載確認(担当者名は非公開),総務人事課,hokkaido-020@hoshizaki.co.jp,011-841-4433,6,2026,https://job.mynavi.jp/27/pc/search/corp63202/outline.html,2026-06-30
東邦レオ株式会社,1120001085408,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
日本スピンドル製造株式会社,1140001050327,○,,,マイナビ掲載確認(担当者名は非公開),本スピンドル製造採用グループ,,06-6499-5551,,2026,https://job.mynavi.jp/27/pc/search/corp3989/outline.html,2026-06-30
株式会社スズキ自販埼玉,2030001004499,○,長田,0.7,採用担当者メッセージから氏名抽出(employment.html),,naoki.nagata@j-saitama.sdr.suzu,048-663-5911,16,2026,https://job.mynavi.jp/27/pc/search/corp204954/outline.html,2026-06-30
株式会社アスコン,1240001029690,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社復建技術コンサルタント,1370001010010,○,藤岡,0.7,採用担当者メッセージから氏名抽出(employment.html),総務人事部,masafumi680@sendai.fgc.co.jp,022-262-1234,16,2026,https://job.mynavi.jp/27/pc/search/corp200158/outline.html,2026-06-30
島津産機システムズ株式会社,2160001000964,○,,,マイナビ掲載確認(担当者名は非公開),,,077-545-3250,,2026,https://job.mynavi.jp/27/pc/search/corp233347/outline.html,2026-06-30
株式会社ウイン,1500001000617,○,,,マイナビ掲載確認(担当者名は非公開),,,011-219-3150,6,2026,https://job.mynavi.jp/27/pc/search/corp77127/outline.html,2026-06-30
原子力エンジニアリング株式会社,1050001004639,○,,,マイナビ掲載確認(担当者名は非公開),人事部,saiyo@neco-net.co.jp,029-287-2828,6,2026,https://job.mynavi.jp/27/pc/search/corp205752/outline.html,2026-06-30
常洋水産株式会社,1050001001165,○,,,マイナビ掲載確認(担当者名は非公開),,soumu@joyosuisan.com,029-226-2141,6,2026,https://job.mynavi.jp/27/pc/search/corp64375/outline.html,2026-06-30
株式会社スミハツ,1010001020516,○,,,マイナビ掲載確認(担当者名は非公開),株式会社スミハツ総務部,saiyo@su0m.nhkspg.co.jp,0296-58-5161,6,2026,https://job.mynavi.jp/27/pc/search/corp206821/outline.html,2026-06-30
クリタ分析センター株式会社,1050001016444,○,,,マイナビ掲載確認(担当者名は非公開),,,029-836-7011,6,2026,https://job.mynavi.jp/27/pc/search/corp205831/outline.html,2026-06-30
日邦産業株式会社,1120901007832,○,西内,0.82,採用担当者メッセージから氏名抽出(outline.html),,,052-218-3161,,2026,https://job.mynavi.jp/27/pc/search/corp89772/outline.html,2026-06-30
株式会社アルファ,1020001005862,○,,,マイナビ掲載確認(担当者名は非公開),,,011-615-7911,4,2026,https://job.mynavi.jp/27/pc/search/corp96721/outline.html,2026-06-30
大成機工株式会社,1120001066556,○,,,マイナビ掲載確認(担当者名は非公開),,,06-6344-7771,,2026,https://job.mynavi.jp/27/pc/search/corp80609/outline.html,2026-06-30
ミズホ株式会社,1010001007612,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3815-3191,,2026,https://job.mynavi.jp/27/pc/search/corp227148/outline.html,2026-06-30
株式会社ＪＰＦ,1010001033237,○,村越,0.8,採用担当者メッセージから氏名抽出(employment.html),総務部,jpf-saiyo@jpf.co.jp,03-3265-4851,6,2026,https://job.mynavi.jp/27/pc/search/corp207850/outline.html,2026-06-30
ホシザキ京阪株式会社,1120001025289,○,,,マイナビ掲載確認(担当者名は非公開),,,06-6762-5351,,2026,https://job.mynavi.jp/27/pc/search/corp40189/outline.html,2026-06-30
東洋熱工業株式会社,1010001051916,○,,,マイナビ掲載確認(担当者名は非公開),,,03-5250-4146,46,2026,https://job.mynavi.jp/27/pc/search/corp84293/outline.html,2026-06-30
株式会社電算,1100001002083,○,,,マイナビ掲載確認(担当者名は非公開),総務部,jinji@g.densan-ginza.co.jp,03-3572-5975,6,2026,https://job.mynavi.jp/27/pc/search/corp209536/outline.html,2026-06-30
岐阜プラスチック工業株式会社,1200001001471,○,,,マイナビ掲載確認(担当者名は非公開),,,0120-223-294,,2026,https://job.mynavi.jp/27/pc/search/corp5127/outline.html,2026-06-30
近江鉄道株式会社,1160001008109,○,,,マイナビ掲載確認(担当者名は非公開),人事部,,0749-22-3368,1,2026,https://job.mynavi.jp/27/pc/search/corp105048/outline.html,2026-06-30
株式会社ＳＹＳＫＥＮ,3330001003635,○,北村,0.82,採用担当者メッセージから氏名抽出(outline.html),,,096-285-1002,26,2026,https://job.mynavi.jp/27/pc/search/corp57843/outline.html,2026-06-30
大同興業株式会社,1180001037502,○,,,マイナビ掲載確認(担当者名は非公開),,dkk_saiyo@daidokogyo.co.jp,052-963-7600,11,2026,https://job.mynavi.jp/27/pc/search/corp71974/outline.html,2026-06-30
レーザーテック株式会社,1020001022180,○,,,マイナビ掲載確認,,,,,2026,https://job.mynavi.jp/27/pc/search/corp57728/outline.html,2026-06-30
セントラルリーシングシステム株式会社,1430001024268,○,,,マイナビ掲載確認,,,,,2026,https://job.mynavi.jp/27/pc/search/corp112659/outline.html,2026-06-30
王子エンジニアリング株式会社,1010001039770,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
東レプラスチック精工株式会社,1010001051932,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
長野日産自動車株式会社,2100001002470,○,,,マイナビ掲載確認(担当者名は非公開),,,026-221-8505,,2026,https://job.mynavi.jp/27/pc/search/corp88282/outline.html,2026-06-30
長野日野自動車株式会社,2100001002512,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
クリーンペア九州株式会社,3330001001291,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
イチカワ株式会社,1010001000708,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3816-1126,,2026,https://job.mynavi.jp/27/pc/search/corp2703/outline.html,2026-06-30
日本紙パルプ商事株式会社,1010001034978,○,,,マイナビ掲載確認(担当者名は非公開),人事部,person@kamipa.co.jp,03-5548-4029,21,2026,https://job.mynavi.jp/27/pc/search/corp2124/outline.html,2026-06-30
株式会社ＣＩＪ,1020001015606,○,,,マイナビ掲載確認(担当者名は非公開),,,045-222-0555,,2026,https://job.mynavi.jp/27/pc/search/corp65990/outline.html,2026-06-30
親和パッケージ株式会社,1140001001783,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
