企業名,法人番号,採用担当者名,担当者根拠,部署,メール,電話番号,採用予定人数,マイナビ掲載,取得元媒体,根拠URL
五洋建設株式会社,1010001000006,,マイナビ掲載確認(担当者名は非公開),,,03-3816-7111,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp57808/outline.html
スズデン株式会社,1010001003966,,マイナビ掲載確認(担当者名は非公開),,recruit@suzuden.co.jp,03-6910-6801,16,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp63055/outline.html
株式会社片平新日本技研,1010001001854,,マイナビ掲載確認(担当者名は非公開),片平新日本技研人材開発部,,03-5802-1616,6,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp101379/outline.html
ＪＦＥスチール株式会社,1010001008668,,マイナビ掲載確認(担当者名は非公開),,,03-3597-3111,201,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp27/outline.html
住友商事株式会社,1010001008692,,マイナビ掲載確認(担当者名は非公開),,,03-6285-5000,51,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp190/outline.html
ウシオ電機株式会社,1010001008651,,マイナビ掲載確認(担当者名は非公開),採用グループ,ushio@saiyo-hr.com,050-3090-2856,11,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp207206/outline.html
ＤＯＷＡホールディングス株式会社,1010001008750,,マイナビ掲載確認(担当者名は非公開),人事部,E-mail.saiyou@dowa.co.jp,0120-268-862,51,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp1403/outline.html
ピーエス・コンストラクション株式会社,1010001008742,,マイナビ掲載確認(担当者名は非公開),,,03-6385-8003,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp84172/outline.html
三井物産株式会社,1010001008767,,マイナビ掲載確認(担当者名は非公開),,,0120-996-954,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp235908/outline.html
日本曹達株式会社,1010001008833,,マイナビ掲載確認(担当者名は非公開),,,03-4212-9630,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp714/outline.html
アース環境サービス株式会社,1010001009823,,マイナビ掲載確認(担当者名は非公開),,,050-3205-1685,51,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp100207/outline.html
東京電力ホールディングス株式会社,1010001008825,,マイナビ掲載確認(担当者名は非公開),,,03-6373-1111,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp80951/outline.html
株式会社アスク,1010001009831,,マイナビ掲載確認(担当者名は非公開),,,055-272-1151,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp223154/outline.html
石福金属興業株式会社,1010001010624,,マイナビ掲載確認(担当者名は非公開),,,03-3252-3131,,○,マイナビ,https://job.mynavi.jp/27/pc/search/corp204294/outline.html
