企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
株式会社アイ・アイ・エム,1010001000055,,東京都中央区八丁堀３丁目６番１号,117,1988,,関根淳,
五洋建設株式会社,1010001000006,総合建設業,東京都文京区後楽２丁目２番８号,3539,1950,,清水琢三,http://www.penta-ocean.co.jp/
スズデン株式会社,1010001003966,,東京都千代田区外神田２丁目２番３号,387,1952,,高谷健文,
株式会社片平新日本技研,1010001001854,"1.土木、建設に関する測量、調査、企画、計画、管理、　コンサルティングに附帯又は関連する一切の事業
2.労働者派遣事業",東京都文京区小石川２丁目２２番２号,268,1970,,山崎幹夫,http://www.katahira.co.jp/
日産化学株式会社,1010001008734,機能性材料、農業化学品、医薬品、化学品の開発、製造、販売,東京都中央区日本橋２丁目５番１号,2044,1921,,八木晋介,
ＪＦＥスチール株式会社,1010001008668,鉄鋼製品・半製品（熱延薄鋼板、冷延薄鋼板、表面処理鋼板、厚鋼板、形鋼、Ｈ形鋼、鋼矢板、レール、継目無鋼管、鍛接鋼管、電縫,東京都千代田区内幸町２丁目２番３号,15578,1950,,廣瀬政之,https://www.jfe-steel.co.jp/saiyou/culture/welfare.html
住友商事株式会社,1010001008692,全世界に展開するグローバルネットワークとさまざまな産業分野における企業・消費者との信頼関係をベースに、多様な商品・サービ,東京都千代田区大手町２丁目３番２号,4829,1919,,上野真吾,http://www.sumitomocorp.co.jp
ウシオ電機株式会社,1010001008651,光応用製品事業ならびに産業機械およびその他事業,東京都港区三田３丁目５番１９号住友不動産東京三田ガーデンタワー３１階,1677,1949,,朝日崇文,http://www.ushio.co.jp
ＤＯＷＡホールディングス株式会社,1010001008750,環境・リサイクル事業、製錬事業、電子材料事業、金属加工事業および熱処理事業,東京都千代田区外神田４丁目１４番１号,1010,,,関口明,http://www.dowa.co.jp/
ピーエス・コンストラクション株式会社,1010001008742,"1．プレストレスト・コンクリート工事の請負ならびに企画、設計、施工監理
2．土木一式工事、建築一式工事の請負ならびに企画",東京都港区東新橋１丁目９番１号,1325,1952,,森拓也,http://www.psc.co.jp/
三井物産株式会社,1010001008767,鉄鋼製品、金属資源、エネルギー、プロジェクト、モビリティ、化学品、食料、流通事業、ウェルネス事業、ICT事業、コーポレー,東京都千代田区大手町１丁目２番１号,5587,1947,,堀健一,http://www.mitsui.com/jp/ja/index.html
日本曹達株式会社,1010001008833,化学製品の製造・販売,東京都千代田区丸の内２丁目７番２号,1407,1920,,阿賀英司,http://www.nippon-soda.co.jp/
アース環境サービス株式会社,1010001009823,,東京都中央区晴海４丁目７番４号,1961,1978,,田渕徹,
東京電力ホールディングス株式会社,1010001008825,電気事業,東京都千代田区内幸町１丁目１番３号,7999,1951,,小早川智明,https://www.tepco.co.jp/about/esg/hractivate/index-j.html
株式会社アスク,1010001009831,,東京都千代田区九段南４丁目８番１９号ＣＩＲＣＬＥＳ＋市ヶ谷駅前,140,1997,,武藤和彦,
石福金属興業株式会社,1010001010624,貴金属精製加工販売業,東京都千代田区内神田３丁目２０番７号,351,1934,,古宮基成,https://www.ishifuku-kinzoku.co.jp/
