企業名,法人番号,採用中,発見媒体,求人件数,採用職種,取得日,根拠
株式会社アイ・アイ・エム,1010001000055,○,求人ボックス,1,東京／採用・人材開発企画,2026-06-14,job-engine-hit
スズデン株式会社,1010001003966,○,求人ボックス,24,愛知／知立市／機械設計「先端技術を活用した生産設備設計・組立/愛知／知立市／製造「制御盤の製作・検査」・未経験歓迎／スキル/知立市／FA機器・制御機器のソリューション営業／転勤なし／土/年間休日121日 土日祝休み 働きやすさと技術力向上/土日祝休み 年間休日123日 昇給あり 賞与年2回,2026-06-14,job-engine-hit
日産化学株式会社,1010001008734,○,求人ボックス,12,化学品の技術開発／試作品製造／一般職／転勤なし/「山口」生産設備エンジニア機械 ～ホワイト500連続認定／営/「富山」生産設備エンジニア機械 ～ホワイト500連続認定／営/未経験歓迎 袖ケ浦・市原／ディスプレイ材料の製造スタッフ 教/「千葉県船橋市」半導体実装材料の研究開発／営業利益率20%以,2026-06-14,job-engine-hit
アース環境サービス株式会社,1010001009823,○,求人ボックス,17,事務 一般事務／外勤業務 土日休み／残業ほぼなし／時短勤務O/「技術営業／北海道」総合環境衛生管理工場の品質サポート/「技術営業／静岡」総合環境衛生管理工場の品質サポート/提案営業 未経験歓迎 衛生環境の改善に寄与／アース・大塚グル/「技術営業／茨城」総合環境衛生管理工場の品質サポート,2026-06-14,job-engine-hit
株式会社アスク,1010001009831,○,求人ボックス,25,病院・施設等の設備員/総務課長候補／東証上場グループの安定基盤で「ゆとりある管理職/自社Webサービス運営の責任者部長候補／上場グループ×マンシ/「総務部門の管理職」／人事・庶務・労務・給与／年休122日/「運営部長／年収〜900万」マンションコンシェルジュのパイオ,2026-06-14,job-engine-hit
商船三井ロジスティクス株式会社,1010001012546,○,求人ボックス,1,フォワーダー営業／国際物流営業／商船三井G,2026-06-14,job-engine-hit
日本高周波鋼業株式会社,1010001016852,○,求人ボックス,18,富山／生産技術 機械系／残業月20 30h程度／土日祝休み／/富山／管理職／生産技術／上流工程から幅広く携わる 残業月20/生産技術スタッフ／富山県射水市/富山／総合職／生産技術／上流工程から幅広く携わる 残業月20/富山／生産技術 電気系／残業月20 30h程度／土日祝休み／,2026-06-14,job-engine-hit
ジャパンプロテクション株式会社,1010001019236,○,求人ボックス,2,渋谷駅周辺の施設警備／夜勤のみ／屋内で安心／週2日～OK/中学・高校の常駐警備スタッフ,2026-06-14,job-engine-hit
株式会社ザイエンス,1010001017941,○,求人ボックス,7,"「東京」設計職／幅広い製造・企画に関わる 賞与年2から3回/面接1回 広島市／経理アシスタント 決算まで経験可 賞与実績/広島市中区／経理 残業少なめ／創業103周年の木材メーカ／業/経験を活かす「経理職」 週休二日 賞与6.48ヶ月/経理事務／賞与6.48ヶ月と昇給～9,700円でキャリア形成",2026-06-14,job-engine-hit
株式会社第一管理代行,1010001021381,○,求人ボックス,1,病院の清掃スタッフ,2026-06-14,job-engine-hit
ソリッドコミュニケーション株式会社,1010001021349,○,求人ボックス,2,開発エンジニア 金融・官公庁向け／大手Sier案件・大規模メ/Webサービス系エンジニア・プログラマ,2026-06-14,job-engine-hit
株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1010001019335,,,,,2026-06-14,not-found
株式会社中央経済社ホールディングス,1010001022710,○,求人ボックス,1,2027 新卒採用 出版,2026-06-14,job-engine-hit
株式会社ティ・オー・エス,1010001023378,,,,,2026-06-14,not-found
東洋計測器株式会社,1010001024129,○,求人ボックス,1,火力発電所の設備メンテナンス／無資格・未経験OK／土日祝休み,2026-06-14,job-engine-hit
株式会社内藤一水社,1010001025135,,,,,2026-06-14,not-found
ＮＸ商事株式会社,1010001025515,○,求人ボックス,21,自動車整備/山形市／自動車整備士 東証プライム上場NXグループ／年休12/新潟市／整備士 特殊車両／東証プライム上場NXグループ／年休/自動車整備士・ピットスタッフ/名古屋／物流施設等の設計・監理 NXグループ／東証プライム上,2026-06-14,job-engine-hit
株式会社はとバスエージェンシー,1010001026819,,,,,2026-06-14,not-found
山崎金属産業株式会社,1010001031109,,,,,2026-06-14,not-found
