企業名,法人番号,従業員数,業種,都道府県
空研工業株式会社,1290001007221,452,・冷却塔の製造・販売 ・空調機器の販売 ・管工事業,福岡県福岡市中央区大濠公園２番３９号
日本高圧コンクリート株式会社,1430001020829,304,コンクリート2次製品の製造販売 橋梁の設計・施工 その他付随工事,北海道札幌市中央区北三条西３丁目１番地５４
福岡酸素株式会社,1290001049544,381,産業ガス・医療ガス・ＬＰガスの販売、高圧ガス関連機器・材料の販売、高圧ガス関連エンジニアリング、ソリューション事業,福岡県久留米市東町３３番地の２１
エア・ウォーター産業・医療ガス株式会社,2430001022196,361,,北海道札幌市中央区北三条西３丁目１番地６
西菱電機株式会社,1140001078509,420,・防災情報通信システムの販売、保守等 ・携帯電話、パソコン等情報通信端末の販売、修理等,兵庫県伊丹市藤ノ木３丁目５番３３号
古河産機システムズ株式会社,1010001087927,478,荷役運搬設備、破砕設備、粉砕設備、環境設備、ポンプ設備、鋼構造物などの製造・販売・施工,東京都千代田区大手町２丁目６番４号
株式会社サンネット,1240001012779,340,(1)コンピュータシステムの企画・設計・製造・メンテナンス等開発全般 (2)システム販売(営業)及びハード保守・オペレー,広島県広島市中区袋町４番２１号
仙台トヨペツト株式会社,1370001006652,489,自動車販売及び修理,宮城県仙台市宮城野区苦竹２丁目８番１号
グリーン産業株式会社,2110001001769,405,建設業,新潟県新潟市中央区神道寺２丁目２番１０号
株式会社市川工務店,1200001000374,349,総合建設業,岐阜県岐阜市鹿島町６丁目２７番地
エネサーブ株式会社,2160001003901,313,総合エネルギーサービス業,滋賀県大津市月輪２丁目１９番６号
株式会社中島商会,2260001004880,372,●塗料・化成品・塗装設備・塗装機器等の販売 ●塗装設備・ラインの稼働フォロー ●塗装における仕様・色彩の提案 ●塗料の調,岡山県岡山市北区柳町２丁目２番２３号
ユナイテッドトヨタ熊本株式会社,3330001003271,470,自動車販売・修理,熊本県熊本市中央区十禅寺４丁目１番１号
株式会社エフコム,1380001004696,365,【情報処理サービス業】 アウトソーシング、クラウドサービス、システム開発、機器販売、機器保守、ヘルプディスク、他,福島県郡山市堤下町１３番８号
ニプロバスキュラー株式会社,1180001001887,330,医療機器の輸入・開発・製造・販売,愛知県名古屋市中区栄４丁目５番３号ＫＤＸ名古屋栄ビル５階
川北電気工業株式会社,1180001035290,379,各種電気設備の設計・施工・工程管理・技術開発,愛知県名古屋市中区栄４丁目６番２５号
インバースネット株式会社,1020001036619,350,〇自社製パーソナルコンピュータ、モバイル機器の開発、製造、販売 〇中古機器・機械の査定・買取・卸売・小売・設置作業・スク,神奈川県横浜市神奈川区新浦島町１丁目１番地２５
株式会社じょうてつ,1430001007925,397,一般乗合旅客自動車運送業 一般貸切旅客自動車運送業 不動産業 物品販売業,北海道札幌市白石区東札幌一条１丁目１番８号
ホシザキ北海道株式会社,1430001015639,364,各種厨房機器の販売及び修理メンテナンス,北海道札幌市白石区菊水一条４丁目１番８号
東邦レオ株式会社,1120001085408,350,建築・緑化資材の販売及び施工,大阪府大阪市中央区上町１丁目１番２８号
日本スピンドル製造株式会社,1140001050327,380,産業機械、集塵装置、空調・冷熱機器の設計開発・製造・販売,兵庫県尼崎市潮江４丁目２番３０号
株式会社スズキ自販埼玉,2030001004499,365,スズキ軽四輪車、小型車の卸売・小売 中古自動車の卸売・小売 スズキセニアカー・電動車椅子の販売 自動車部品の販売 自動車,埼玉県さいたま市北区吉野町２丁目２２２番地１０
株式会社アスコン,1240001029690,452,,広島県福山市港町１丁目１５番２７号
株式会社復建技術コンサルタント,1370001010010,442,弊社は、昭和21年の創業以来、東北を拠点とする総合建設コンサルタントとして道路や橋梁設計・地質調査・測量に携わってきまし,宮城県仙台市青葉区錦町１丁目７番２５号
島津産機システムズ株式会社,2160001000964,300,一般機械器具製造業 産業機械の製造・販売,滋賀県大津市月輪１丁目８番１号
株式会社ウイン,1500001000617,345,システム開発・情報処理・派遣業,愛媛県松山市二番町３丁目６番地５
原子力エンジニアリング株式会社,1050001004639,496,原子力関係機器の設計、製作及び運転保守,茨城県那珂郡東海村大字村松字平原３１２９番地の２９
常洋水産株式会社,1050001001165,368,公設卸売市場内での鮮魚、冷凍魚、塩干魚及び加工品の卸売販売、瓶缶詰、一般加工食品、菓子、酒類、チルド食品、冷凍食品等の卸,茨城県水戸市青柳町４５６６番地
株式会社スミハツ,1010001020516,438,自動車用板ばね、産機用巻ばね、鉄道施設用品等の製造販売,茨城県桜川市高森１１５８番地
クリタ分析センター株式会社,1050001016444,372,環境計量証明事業,茨城県つくば市高野台２丁目８番１４号
日邦産業株式会社,1120901007832,319,・メーカー機能を持ち合わせた商社で、主に産業資材/半導体部品/自動車部品/住宅設備部品等を販売。 ・海外拠点は東南アジア,愛知県名古屋市中区錦１丁目１０番１号
株式会社アルファ,1020001005862,460,創業以来、我々の生活で欠かす事のできない“カギ（キー＆ロック）”を中心としたセキュリティ商品を、自動車・住宅・産業機器・,神奈川県横浜市金沢区福浦１丁目６番８号
大成機工株式会社,1120001066556,390,,大阪府大阪市北区梅田１丁目１番３－２７００号
ミズホ株式会社,1010001007612,594,医療器械・器具の製造・販売,東京都文京区本郷３丁目３０番１３号
株式会社ＪＰＦ,1010001033237,685,（１）公営競技のトータルマネジメント （２）公営競技及びアマチュア競技の着順判定写真撮影業務 （３）審判業務用ＶＴＲの撮,東京都千代田区富士見２丁目４番１１号
ホシザキ京阪株式会社,1120001025289,588,業務用厨房機器の販売及びメンテナンス,大阪府大阪市中央区内本町２丁目２番１２号
東洋熱工業株式会社,1010001051916,843,管工事業,東京都中央区京橋２丁目５番１２号
株式会社電算,1100001002083,698,情報処理・通信サービス ソフトウェア開発・システム提供サービス システム機器販売等 その他関連サービス,長野県長野市大字鶴賀七瀬中町２７６番地６
岐阜プラスチック工業株式会社,1200001001471,860,プラスチック製品の製造・販売,岐阜県岐阜市神田町９丁目２７番地
近江鉄道株式会社,1160001008109,920,鉄道事業、自動車運送事業、観光事業、不動産事業、旅行業　他,滋賀県彦根市駅東町１５番１
株式会社ＳＹＳＫＥＮ,3330001003635,696,NTTインフラ構築事業、総合設備構築事業,熊本県熊本市中央区萩原町１４番４５号
大同興業株式会社,1180001037502,338,特殊鋼、原材料、機械、電子部品等の売買および輸出入,愛知県名古屋市東区東桜１丁目１番１０号
レーザーテック株式会社,1020001022180,479,,神奈川県横浜市港北区新横浜２丁目１０番地１
セントラルリーシングシステム株式会社,1430001024268,474,,北海道札幌市中央区大通西６丁目１０番地１
王子エンジニアリング株式会社,1010001039770,305,王子グループの技術統括業務並びに各種プラントの計画立案・設計・施工,東京都中央区銀座４丁目７番５号
東レプラスチック精工株式会社,1010001051932,362,,東京都中央区日本橋本石町４丁目６番７号
長野日産自動車株式会社,2100001002470,486,自動車販売及び整備,長野県長野市大字川合新田３６１６番地１
長野日野自動車株式会社,2100001002512,313,,長野県長野市川中島町上氷鉋５５３番地１
クリーンペア九州株式会社,3330001001291,451,病院等施設清掃・空調関係清掃・ホームユース鳥害対策,熊本県熊本市東区小山町２２１７番地１
イチカワ株式会社,1010001000708,523,抄紙用フエルト、抄紙用ベルトおよびスレート・その他工業用フエルトの製造、販売,東京都文京区本郷２丁目１４番１５号
日本紙パルプ商事株式会社,1010001034978,900,1.紙、パルプ、古紙の売買および輸出入 2.包装材料の売買および輸出入 3.燃料類の売買および輸出入 4.化成品、工業薬,東京都中央区勝どき３丁目１２番１号フォアフロントタワー
株式会社ＣＩＪ,1020001015606,807,システム開発およびシステム開発に関連するサービス,神奈川県横浜市西区高島１丁目２番５号
親和パッケージ株式会社,1140001001783,800,梱包業,兵庫県神戸市東灘区向洋町西６丁目１９番地
星和電機株式会社,1130001038463,613,情報表示システム、産業用照明機器、道路・トンネル照明機器、ノイズ対策製品、配線保護機材の製造販売,京都府城陽市寺田新池３６番地
株式会社第一ビルデイング,1010001065445,515,・不動産の賃貸 ・不動産の取得、所有および処分 ・不動産の管理および賃貸借の受託 ・不動産の仲介 ・不動産に関する企画・,東京都品川区大崎１丁目２番２号
株式会社ＹＤＫテクノロジーズ,1021001022880,729,環境計測事業 航海事業 航空・宇宙事業 燃焼事業 防衛事業,神奈川県秦野市曽屋５００番地
ＡＧＳ株式会社,2030001000011,800,情報処理サービス ソフトウェア開発 その他情報サービス システム機器販売,埼玉県さいたま市浦和区針ヶ谷４丁目３番２５号
協和ビル管理株式会社,2040001001784,608,建物の総合管理業務,千葉県千葉市中央区汐見丘町１６番１１号
鈴与商事株式会社,1080001002318,553,石油製品・LPG等のエネルギー販売、発電および電力の仕入・販売、エネルギーシステム機器の販売・施工・保守管理、太陽光発電,静岡県静岡市清水区入船町１１番１号
日精樹脂工業株式会社,1100001011530,535,射出成形機・金型・成形自動システム・計測機器等の開発、製造、販売,長野県埴科郡坂城町大字南条２１１０番地
