企業名,採用担当者名,役職,corpId,根拠,取得元,取得日
北陸電機製造(株)【北陸電力グループ】,,,113041,,マイナビ列挙,2026-07-01
中国電機製造(株)【中国電力グループ】,,,211241,,マイナビ列挙,2026-07-01
理研電具製造(株),,,290521,,マイナビ列挙,2026-07-01
いすゞエンジン製造北海道(株),,,238233,,マイナビ列挙,2026-07-01
東京ラヂエーター製造(株),,,3213,,マイナビ列挙,2026-07-01
東双みらい製造(株)【東京電力グループ】,,,272456,,マイナビ列挙,2026-07-01
フジアルテ(株)【製造職コース】,,,243657,,マイナビ列挙,2026-07-01
ヤンマーエネルギーシステム製造(株),,,284827,,マイナビ列挙,2026-07-01
日本スピンドル製造(株)【住友重機械グループ】,,,3989,,マイナビ列挙,2026-07-01
進興電気製造(株),,,258255,,マイナビ列挙,2026-07-01
タキゲン製造(株),,,71692,,マイナビ列挙,2026-07-01
日本車輌製造株式会社（JR東海グループ）,,,57586,,マイナビ列挙,2026-07-01
東北ネヂ製造(株),,,242080,,マイナビ列挙,2026-07-01
林精器製造(株),,,85257,,マイナビ列挙,2026-07-01
東北電機製造(株)【東北電力グループ・ダイヘングループ】,,,232977,,マイナビ列挙,2026-07-01
東洋電機製造(株),,,288293,,マイナビ列挙,2026-07-01
OPI(株)【旧社名：大阪印刷インキ製造(株)】,,,52658,,マイナビ列挙,2026-07-01
ミドリ電機製造(株),,,244550,,マイナビ列挙,2026-07-01
(株)UACJ 福井製造所【東証プライム上場】,,,285445,,マイナビ列挙,2026-07-01
日本ロール製造(株),,,246269,,マイナビ列挙,2026-07-01
パナソニックソーラーシステム製造(株),,,268752,,マイナビ列挙,2026-07-01
(株)ヨークベニマル（製造職）,,,285331,,マイナビ列挙,2026-07-01
マツダ(株)【製造職】,,,278686,,マイナビ列挙,2026-07-01
日本ポール製造株式会社,,,271034,,マイナビ列挙,2026-07-01
(株)UACJ 名古屋製造所【東証プライム上場】,,,290228,,マイナビ列挙,2026-07-01
帝国インキ製造(株),,,284410,,マイナビ列挙,2026-07-01
