企業名,法人番号,採用担当者名,融合確度,一致ソース数,クロス検証,寄与ソース,役職,部署,根拠URL,根拠,公式URL,取得日
ラブリー株式会社,1020001012776,,,,,,,,,,http://www.lovely-cl.co.jp/,2026-07-05
株式会社成基,1130001003203,福永 慧,0.879,1,,公式HP(自社サイト),執行役員,HRM部,https://www.seiki-recruit.com/,株式会社 成基 執行役員 HRM部　部長,https://www.seiki.co.jp/,2026-07-05
アーキスプランニング株式会社,1130001004300,,,,,,,,,,http://www.ap-kyoto.com/,2026-07-05
株式会社嘉文,1180001014286,,,,,,,,,,http://www.kamon-group.com/,2026-07-05
株式会社大富,1290001036286,,,,,,,,,,https://www.oh-tomi.co.jp/,2026-07-05
株式会社ユーマート,1080001009379,,,,,,,,,,https://www.u-mart.co.jp/,2026-07-05
仙台交通株式会社,1370001002420,,,,,,,,,,http://sendaikotsu.co.jp/,2026-07-05
おのみちバス株式会社,1240001039244,,,,,,,,,,https://onomichibus.jp/,2026-07-05
株式会社ワイエムフーズ,1110001011546,,,,,,,,,,http://www.ymfoods.co.jp/,2026-07-05
日軽新潟株式会社（閉鎖）,1110001006604,,,,,,,,,,https://www.nikkei-niigata.co.jp/,2026-07-05
ジョルジオアルマーニジャパン株式会社,1010001019962,,,,,,,,,,https://www.armani.com/ja-jp/,2026-07-05
Ｐ＆Ｇジャパン合同会社,1140001024801,,,,,,,,,,https://jp.pg.com/,2026-07-05
イチビキ株式会社,1180001021522,,,,,,,,,,https://www.ichibiki.co.jp/,2026-07-05
西部運輸株式会社,1240001031060,,,,,,,,,,https://seibu-trans.jp/,2026-07-05
ニデックテクノモータ株式会社,1130001044180,,,,,,,,,,https://www.nidec.com/jp/nidec-technomotor/,2026-07-05
株式会社河野,1240001003357,,,,,,,,,,https://www.transport-kono.com/,2026-07-05
株式会社Ｂ・Ｉ,1370001005910,,,,,,,,,,http://www.biunsou.co.jp/,2026-07-05
株式会社デンソーワイズテック,1200001018152,,,,,,,,,,https://www.denso-wisetech.co.jp/,2026-07-05
株式会社ティ・アイ・エス,1290001014705,,,,,,,,,,https://www.tis-web.co.jp/recruit/index.html,2026-07-05
三重交通コミュニティ株式会社,1190001000351,,,,,,,,,,https://www.sanco-com.co.jp/,2026-07-05
株式会社蒲郡クラシックホテル,1080401018707,,,,,,,,,,https://gamagori-classic-hotel.com/recruit/,2026-07-05
棚田建材株式会社,1140001003672,,,,,,,,,,https://tanadakenzai.co.jp/,2026-07-05
菱中建設株式会社,1430001053630,,,,,,,,,,https://www.hisinaka.jp/,2026-07-05
株式会社山口製作所,1240001024840,,,,,,,,,,https://www.yamaguchi1965.jp/,2026-07-05
大東プレス工業株式会社,1120001002107,,,,,,,,,,http://www.daito-press.co.jp/,2026-07-05
株式会社モリテックス,1013301029292,,,,,,,,,,https://www.moritex.co.jp/,2026-07-05
丸一海運株式会社,1120001028168,,,,,,,,,,https://www.mkc-net.co.jp/index.html,2026-07-05
株式会社ミキ,1180001015631,,,,,,,,,,http://kurumaisu-miki.co.jp/,2026-07-05
株式会社大宮國際ゴルフ場,1030001001530,,,,,,,,,,https://www.okcc.co.jp/,2026-07-05
富士臨海株式会社,1040001051194,,,,,,,,,,http://www.fujirinkai.co.jp/,2026-07-05
株式会社ニューオークボ,1040001066226,,,,,,,,,,https://nama-pasta.com/,2026-07-05
株式会社埼玉県魚市場,1030001003411,,,,,,,,,,https://saitamauoiti.co.jp/,2026-07-05
東武レジャー企画株式会社,1030001052086,,,,,,,,,,https://www.tobuzoo.com/,2026-07-05
エイチ・ワイ・ホスピタリティ・エンタープライズ株式会社,1140001021641,,,,,,,,,,http://www.kobe-kitanohotel.co.jp/,2026-07-05
株式会社ＩＺＵＳＨＩ,1130001006858,,,,,,,,,,https://www.ztec-izushi.co.jp/,2026-07-05
株式会社西村製作所,1130001011395,,,,,,,,,,https://www.ns-slitter.co.jp/,2026-07-05
株式会社なすび,1080001008843,,,,,,,,,,https://www.nasubi-ltd.co.jp/,2026-07-05
文化タクシー株式会社,1290001004805,,,,,,,,,,https://bunka-taxi.co.jp/,2026-07-05
株式会社うなぎ藤田浜松店,1080401000664,,,,,,,,,,https://www.unagifujita.com/,2026-07-05
